Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"Auxerre vs Lyon","2025-11-23 09:00",0.6646,0.0567,"1X",1.8,"marathonbet",3.19,5.31,2.12,1.7433,,,,
"Manchester United vs Everton","2025-11-24 15:00",0.6612,0.025,"1X",1.23,"marathonbet",3.07,5.1,2.03,1.205,,,,
"Manchester United vs Everton","2025-11-24 15:00",0.6612,0.05,"X2",2.13,"marathonbet",3.07,5.1,2.03,2.08,,,,
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.6577,0.0287,"1X",1.44,"pinnacle",3.33,5.52,2.19,1.4113,2.55,3.1,2.87,6.32
"FC St. Pauli vs Union Berlin","2025-11-23 11:30",0.6577,0.0314,"X2",1.55,"pinnacle",3.33,5.52,2.19,1.5186,2.55,3.1,2.87,6.32
"Fortuna Sittard vs Heracles Almelo","2025-11-29 12:45",0.6552,0.122,"X2",1.8624,"bwin",5.51,9.12,3.61,1.7404,1.93,3.7,3.75,5.51
"Torino vs Como","2025-11-24 12:30",0.6538,0.0318,"1X",1.69,"pinnacle",3.38,5.59,2.21,1.6582,3.3,3.25,2.2,6.53
"Arsenal vs Bayern Munich","2025-11-26 15:00",0.6523,0.032,"X2",1.73,"betsson",3.25,5.37,2.12,1.698,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.64,0.0317,"X2",1.49,"marathonbet",3.25,5.33,2.08,1.4583,,,,
"Oviedo vs Rayo Vallecano","2025-11-23 08:00",0.631,0.0383,"1X",1.72,"pinnacle",3.36,5.48,2.12,1.6817,,,,
"Feyenoord vs Celtic","2025-11-27 12:45",0.631,0.053,"X2",2.19,"marathonbet",3.74,6.1,2.36,2.137,1.68,4.2,4.4,6.06
"Internacional vs Santos","2025-11-24 19:00",0.6298,0.064,"X2",1.68,"pinnacle",4.97,8.1,3.13,1.616,2.2,3.25,3.4,5.64
"Pafos FC vs AS Monaco","2025-11-26 12:45",0.6158,0.0683,"1X",2.4,"betsson",3.41,5.51,2.1,2.3317,,,,
"Slavia Praha vs Athletic Bilbao","2025-11-25 15:00",0.6134,0.045,"1X",1.62,"betsson",3.44,5.55,2.11,1.575,,,,
"Fenerbahce vs Ferencváros TC","2025-11-27 12:45",0.6103,0.1133,"X2",2.62,"marathonbet",3.9,6.28,2.38,2.5067,,,,
"Marseille vs Newcastle United","2025-11-25 15:00",0.6079,0.0383,"X2",1.47,"betsson",3.29,5.29,2.0,1.4317,,,,
"Everton vs Newcastle United","2025-11-29 12:30",0.6014,0.04,"X2",1.44,"betsson",4.24,6.79,2.55,1.4,,,,
"Nantes vs Lorient","2025-11-23 11:15",0.6006,0.0333,"1X",1.54,"pinnacle",3.33,5.33,2.0,1.5067,,,,
"Atlético Madrid vs Inter Milan","2025-11-26 15:00",0.5988,0.045,"X2",1.67,"betsson",3.39,5.42,2.03,1.625,,,,
"Atletico Mineiro vs Flamengo","2025-11-25 19:30",0.5984,0.0803,"1X",1.88,"pinnacle",5.08,8.12,3.04,1.7997,4.0,3.4,1.95,5.69
"Atletico Mineiro vs Flamengo","2025-11-25 19:30",0.5984,0.0258,"X2",1.24,"pinnacle",5.08,8.12,3.04,1.2142,4.0,3.4,1.95,5.69
"Como vs Sassuolo","2025-11-28 14:45",0.5923,0.028,"1X",1.16,"betsson",4.44,7.07,2.63,1.132,,,,
"Rangers FC vs SC Braga","2025-11-27 15:00",0.5915,0.0333,"1X",1.65,"betsson",3.77,6.0,2.23,1.6167,,,,
"Real Betis vs Girona","2025-11-23 10:15",0.5901,0.024,"1X",1.17,"marathonbet",3.22,5.12,1.9,1.146,,,,
"PFC Ludogorets Razgrad vs Celta Vigo","2025-11-27 12:45",0.5853,0.0483,"1X",2.14,"betsson",3.81,6.04,2.23,2.0917,,,,
"Rangers FC vs SC Braga","2025-11-27 15:00",0.5748,0.0367,"X2",1.39,"marathonbet",3.81,6.0,2.19,1.3533,,,,
"Panathinaikos FC vs SK Sturm Graz","2025-11-27 15:00",0.5696,0.0267,"1X",1.19,"betsson",3.81,5.98,2.17,1.1633,,,,
"Leeds United vs Aston Villa","2025-11-23 09:00",0.5653,0.0283,"X2",1.44,"pinnacle",3.29,5.15,1.86,1.4117,,,,
"Panathinaikos FC vs SK Sturm Graz","2025-11-27 15:00",0.5614,0.05,"X2",2.19,"marathonbet",3.83,5.98,2.15,2.14,,,,
"PFC Ludogorets Razgrad vs Celta Vigo","2025-11-27 12:45",0.5527,0.0267,"X2",1.2,"marathonbet",3.89,6.04,2.15,1.1733,,,,
"KRC Genk vs FC Basel","2025-11-27 15:00",0.5518,0.0236,"1X",1.32,"betsson",3.28,5.09,1.81,1.2964,2.0,3.7,3.5,5.6
"KRC Genk vs FC Basel","2025-11-27 15:00",0.5518,0.0469,"X2",1.89,"betsson",3.28,5.09,1.81,1.8431,2.0,3.7,3.5,5.6
"Moreirense FC vs Famalicão","2025-11-29 10:30",0.5469,0.042,"1X",1.75,"pinnacle",5.12,7.92,2.8,1.708,,,,
"Moreirense FC vs Famalicão","2025-11-29 10:30",0.5469,0.024,"X2",1.28,"pinnacle",5.12,7.92,2.8,1.256,,,,
"Sunderland vs Bournemouth","2025-11-29 10:00",0.5444,0.038,"X2",1.43,"betsson",4.28,6.61,2.33,1.392,,,,
"Bragantino-SP vs Fortaleza","2025-11-26 17:00",0.5399,0.0683,"X2",1.74,"codere_it",5.89,9.07,3.18,1.6717,,,,
"Bodø/Glimt vs Juventus","2025-11-25 15:00",0.5365,0.0333,"X2",1.41,"betsson",3.56,5.47,1.91,1.3767,,,,
"Maccabi Tel Aviv vs Lyon","2025-11-27 15:00",0.5355,0.1015,"1X",2.14,"betsson",3.94,6.05,2.11,2.0385,4.33,3.75,1.78,5.94
"Maccabi Tel Aviv vs Lyon","2025-11-27 15:00",0.5355,0.0261,"X2",1.24,"betsson",3.94,6.05,2.11,1.2139,4.33,3.75,1.78,5.94
"Liverpool vs PSV Eindhoven","2025-11-26 15:00",0.5183,0.035,"1X",1.1,"codere_it",3.82,5.8,1.98,1.065,,,,
"Real Betis vs FC Utrecht","2025-11-27 15:00",0.5183,0.0131,"1X",1.06,"marathonbet",3.82,5.8,1.98,1.0469,1.3,5.5,10.0,5.1
"Groningen vs FC Zwolle","2025-11-23 10:45",0.5046,0.0367,"1X",1.15,"betsson",5.39,8.11,2.72,1.1133,,,,
"TSG Hoffenheim vs Augsburg","2025-11-29 09:30",0.5034,0.0996,"X2",2.23,"betsson",4.47,6.72,2.25,2.1304,1.7,4.1,4.4,5.94
