Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Marcador,Resultado
Newcastle United vs Chelsea,2025-12-20 07:30:00,EPL,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.4096,0.035,2.13,4.98,1.645,betsson:1.68; codere_it:1.61,2-2,Acertado
Kilmarnock vs Falkirk F.C.,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,0.6531,0.0567,2.1,3.43,1.9933,pinnacle:2.05; betsson:1.98; codere_it:1.95,0-1,Fallido
Newcastle Jets FC vs Sydney FC,2025-12-20 01:00:00,A-League,Goles (Over/Under),Under 3.5,1.86,pinnacle,3,0.9536,0.0533,2.09,3.02,1.8067,pinnacle:1.86; betsson:1.78; codere_it:1.78,2-0,Acertado
Kilmarnock vs Falkirk F.C.,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.83,codere_it,3,-0.0438,0.0267,2.09,5.93,1.8033,codere_it:1.83; pinnacle:1.83; betsson:1.75,0-1,Acertado
Newcastle Jets FC vs Sydney FC,2025-12-20 01:00:00,A-League,Goles (Over/Under),Over 3.5,2.03,pinnacle,3,0.9536,0.05,2.06,3.02,1.98,pinnacle:2.03; betsson:1.98; codere_it:1.93,2-0,Fallido
Bristol City vs Middlesbrough,2025-12-20 10:00:00,Championship,Goles (Over/Under),Under 2.5,1.99,codere_it,3,-0.1013,0.0333,2.06,6.12,1.9567,codere_it:1.99; pinnacle:1.98; betsson:1.9,2-0,Acertado
Avellino vs Palermo,2025-12-20 11:15:00,Serie B,Goles (Over/Under),Under 2.5,1.84,pinnacle,3,0.6884,0.0433,2.05,3.37,1.7967,pinnacle:1.84; codere_it:1.8; betsson:1.75,2-2,Fallido
Leyton Orient vs Bradford City,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,1.94,codere_it,3,-0.0357,0.0367,2.03,5.89,1.9033,codere_it:1.94; pinnacle:1.92; betsson:1.85,2-1,Fallido
Bristol City vs Middlesbrough,2025-12-20 10:00:00,Championship,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,0.4865,0.04,2.03,3.7,1.84,pinnacle:1.88; betsson:1.85; codere_it:1.79,2-0,Fallido
Barnet vs Salford City,2025-12-20 10:00:00,League 2,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.1722,0.035,2.01,6.68,1.745,betsson:1.78; codere_it:1.71,1-3,Acertado
Wolverhampton Wanderers vs Brentford,2025-12-20 10:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,1.0459,0.05,1.98,2.83,1.8,pinnacle:1.85; betsson:1.78; codere_it:1.77,0-2,Acertado
Real Madrid vs Sevilla,2025-12-20 15:00:00,La Liga,Goles (Over/Under),Over 3.5,1.93,pinnacle,3,0.7741,0.04,1.98,3.63,1.89,pinnacle:1.93; betsson:1.9; codere_it:1.84,2-0,Fallido
Exeter City vs Barnsley,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,2.06,codere_it,2,0.0566,0.04,1.98,6.01,2.02,codere_it:2.06; betsson:1.98,3-0,Fallido
