Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Score_Ponderado,Rating,Nivel_Confianza,Accion_Recomendada,Resultado
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.64,marathonbet,0.1167,0.01,0.75,3.0,48.89,⭐ REGULAR,🟡 MEDIA CONFIANZA,APOSTAR (1-2% bankroll),Acertado
Marseille vs Newcastle United,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Over 2.5,1.8,codere_it,0.2668,0.025,1.41,3.86,48.27,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Napoli vs Qarabağ FK,2025-11-25 15:00:00,Champions League,Doble Chance,X2,4.07,betsson,-0.0305,0.0775,1.21,3.93,48.05,⭐ REGULAR,🔴 SIN CONFIANZA,NO APOSTAR,Fallido
Marseille vs Newcastle United,2025-11-25 15:00:00,Champions League,Doble Chance,X2,1.42,marathonbet,0.0556,0.0,0.0,3.24,47.8,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Fallido
Chelsea vs Barcelona,2025-11-25 15:00:00,Champions League,Doble Chance,X2,1.71,pinnacle,0.0708,0.0075,0.49,3.39,47.55,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Fallido
Slavia Praha vs Athletic Bilbao,2025-11-25 15:00:00,Champions League,Doble Chance,X2,1.41,betsson,0.0276,0.01,0.51,3.26,46.79,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Bodø/Glimt vs Juventus,2025-11-25 15:00:00,Champions League,Doble Chance,X2,1.41,betsson,0.0183,0.01,0.51,3.28,46.46,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Marseille vs Newcastle United,2025-11-25 15:00:00,Champions League,Doble Chance,1X,1.63,betsson,0.0118,0.0125,0.67,3.38,45.94,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Ajax vs Benfica,2025-11-25 12:45:00,Champions League,Doble Chance,X2,1.35,betsson,0.04,0.01,0.53,3.25,45.87,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
Manchester City vs Bayer Leverkusen,2025-11-25 15:00:00,Champions League,Goles (Over/Under),Under 3.5,2.14,codere_it,0.1421,0.045,2.15,3.87,45.4,⭐ REGULAR,🟠 BAJA CONFIANZA,CONSIDERAR (0.5-1% bankroll),Acertado
