Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.25,1.87,pinnacle,2,0.2198,0.02,1.08,3.23,1.85,pinnacle:1.87; bovada:1.83,0.000025,2,0.005844,0.005844,0.000003,2,0.002076,0.002076
Sint Truiden vs KV Mechelen,2025-12-21 10:00:00,Belgium First Div,Goles (Over/Under),Under 2.5,2.2,unibet,13,0.0886,0.0223,1.24,6.43,2.1777,unibet:2.2; unibet_se:2.2; unibet_nl:2.2; grosvenor:2.2; casumo:2.2; tipico_de:2.2; betmgm:2.2; tabtouch:2.18; leovegas_se:2.16; leovegas:2.16; williamhill:2.15; nordicbet:2.13; betsson:2.13,0.000024,13,0.005729,0.005176,0.000023,13,0.005567,0.004369
FC Volendam vs Sparta Rotterdam,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Under 2.5,2.36,nordicbet,13,0.0201,0.0585,1.33,6.48,2.3015,nordicbet:2.36; betsson:2.36; tabtouch:2.3; grosvenor:2.3; casumo:2.3; unibet_se:2.3; unibet_nl:2.3; leovegas:2.3; unibet:2.3; williamhill:2.3; tipico_de:2.3; leovegas_se:2.25; betmgm:2.25,0.000024,13,0.005754,0.003335,0.000014,13,0.004394,0.003486
Club Brugge vs Gent,2025-12-21 07:30:00,Belgium First Div,Goles (Over/Under),Over 3.5,2.14,unibet,13,0.1408,0.0215,1.2,6.25,2.1185,unibet:2.14; casumo:2.14; unibet_se:2.14; unibet_nl:2.14; grosvenor:2.14; nordicbet:2.13; betsson:2.13; tabtouch:2.12; coolbet:2.11; leovegas_se:2.1; leovegas:2.1; betmgm:2.1; tipico_de:2.05,0.000024,13,0.005750,0.004579,0.000012,13,0.004017,0.002415
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Under 3.0,1.84,pinnacle,3,0.4409,0.0267,1.04,3.13,1.8133,pinnacle:1.84; bovada:1.8; coolbet:1.8,0.000024,3,0.005693,0.005368,0.000009,3,0.003576,0.003141
AEL vs Atromitos Athens,2025-12-21 10:30:00,Super League,Goles (Over/Under),Under 2.0,2.11,bovada,3,0.038,0.03,1.18,4.21,2.08,bovada:2.11; pinnacle:2.08; coolbet:2.05,0.000023,3,0.005663,0.004646,0.000013,3,0.004275,0.003939
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Under 2.25,1.91,pinnacle,2,0.3322,0.02,1.06,2.86,1.89,pinnacle:1.91; bovada:1.87,0.000023,2,0.005600,0.005600,0.000000,2,0.000737,0.000737
Feyenoord vs FC Twente Enschede,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 3.0,1.96,pinnacle,3,0.5795,0.0267,1.06,2.83,1.9333,pinnacle:1.96; coolbet:1.93; bovada:1.91,0.000022,3,0.005484,0.004730,0.000014,3,0.004373,0.003846
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,1.72,codere_it,14,0.5636,0.0336,0.91,4.01,1.6864,codere_it:1.72; coolbet:1.7; betsson:1.7; nordicbet:1.7; leovegas_se:1.7; betmgm:1.69; grosvenor:1.68; casumo:1.68; tabtouch:1.68; unibet_nl:1.68; unibet_se:1.68; tipico_de:1.67; williamhill:1.67; leovegas:1.66,0.000022,14,0.005399,0.004580,0.000010,14,0.003614,0.002857
FC Volendam vs Sparta Rotterdam,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Over 3.0,1.95,bovada,3,0.1723,0.0233,1.07,4.76,1.9267,bovada:1.95; pinnacle:1.93; coolbet:1.9,0.000022,3,0.005551,0.004817,0.000007,3,0.003087,0.002910
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.73,coolbet,15,0.6801,0.0467,0.94,4.97,1.6833,coolbet:1.73; williamhill:1.7; tipico_de:1.7; unibet:1.68; grosvenor:1.68; unibet_se:1.68; casumo:1.68; leovegas:1.68; tabtouch:1.68; unibet_nl:1.68; nordicbet:1.68; betsson:1.68; leovegas_se:1.67; betmgm:1.67; codere_it:1.66,0.000022,15,0.005488,0.003710,0.000007,15,0.003074,0.002927
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.75,1.93,pinnacle,2,0.1515,0.02,1.05,3.63,1.91,pinnacle:1.93; bovada:1.89,0.000022,2,0.005483,0.005483,0.000005,2,0.002618,0.002618
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Under 2.75,1.95,pinnacle,2,0.2581,0.02,1.04,3.1,1.93,pinnacle:1.95; bovada:1.91,0.000021,2,0.005370,0.005370,0.000001,2,0.001289,0.001289
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Under 2.25,1.98,bovada,2,-0.1601,0.02,1.02,4.56,1.96,bovada:1.98; pinnacle:1.94,0.000020,2,0.005207,0.005207,0.000052,2,0.008486,0.008486
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Under 2.5,1.59,codere_it,14,0.6546,0.0357,0.8,3.88,1.5543,codere_it:1.59; williamhill:1.57; leovegas_se:1.56; grosvenor:1.56; tipico_de:1.55; betsson:1.55; nordicbet:1.55; casumo:1.55; unibet_nl:1.55; tabtouch:1.55; unibet:1.55; unibet_se:1.55; leovegas:1.54; betmgm:1.54,0.000020,14,0.005057,0.003681,0.000009,14,0.003433,0.002283
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Under 2.25,1.97,pinnacle,2,0.331,0.02,1.03,2.84,1.95,pinnacle:1.97; bovada:1.93,0.000020,2,0.005260,0.005260,0.000000,2,0.000596,0.000596
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Under 2.5,1.6,grosvenor,14,0.2571,0.0257,0.79,5.6,1.5743,grosvenor:1.6; leovegas_se:1.6; betsson:1.58; nordicbet:1.58; tipico_de:1.57; williamhill:1.57; casumo:1.57; unibet_se:1.57; unibet:1.57; tabtouch:1.57; unibet_nl:1.57; leovegas:1.57; betmgm:1.57; codere_it:1.55,0.000019,14,0.004965,0.003595,0.000005,14,0.002581,0.001958
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.67,unibet,13,-0.0612,0.0069,0.8,8.66,1.6631,unibet:1.67; tabtouch:1.67; unibet_se:1.67; casumo:1.67; grosvenor:1.67; leovegas_se:1.67; unibet_nl:1.67; leovegas:1.67; nordicbet:1.66; betsson:1.66; codere_it:1.66; coolbet:1.66; betmgm:1.62,0.000018,13,0.004886,0.003116,0.000034,13,0.006856,0.006267
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.38,williamhill,9,0.3354,0.0733,1.16,6.53,2.3067,williamhill:2.38; unibet:2.3; unibet_se:2.3; casumo:2.3; unibet_nl:2.3; leovegas:2.3; grosvenor:2.3; tabtouch:2.3; leovegas_se:2.28,0.000018,9,0.004890,0.002981,0.000002,9,0.001588,0.001061
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Under 2.25,2.02,pinnacle,2,0.2651,0.02,1.0,2.98,2.0,pinnacle:2.02; bovada:1.98,0.000018,2,0.005001,0.005001,0.000001,2,0.001154,0.001154
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 2.25,2.06,pinnacle,2,0.1975,0.02,0.98,3.19,2.04,pinnacle:2.06; bovada:2.02,0.000017,2,0.004806,0.004806,0.000002,2,0.001761,0.001761
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Over 3.5,2.27,codere_it,5,0.3442,0.026,1.04,6.16,2.244,codere_it:2.27; betsson:2.25; nordicbet:2.25; betmgm:2.25; tipico_de:2.2,0.000016,5,0.004684,0.003546,0.000023,5,0.005582,0.005101
Cagliari vs Pisa,2025-12-21 06:30:00,Serie A,Goles (Over/Under),Under 2.0,2.05,pinnacle,3,0.1908,0.0133,0.93,2.83,2.0367,pinnacle:2.05; bovada:2.05; coolbet:2.01,0.000015,3,0.004576,0.004314,0.000030,3,0.006452,0.005487
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.5,1.72,tipico_de,15,-0.0337,0.0353,0.75,8.9,1.6847,tipico_de:1.72; williamhill:1.7; coolbet:1.7; betmgm:1.69; nordicbet:1.68; betsson:1.68; unibet_se:1.68; tabtouch:1.68; grosvenor:1.68; unibet:1.68; unibet_nl:1.68; casumo:1.68; leovegas:1.68; codere_it:1.67; leovegas_se:1.67,0.000014,15,0.004384,0.003321,0.000013,15,0.004232,0.002549
Santa Clara vs Arouca,2025-12-21 15:30:00,Primeira Liga,Goles (Over/Under),Over 2.0,1.81,pinnacle,3,0.3514,0.02,0.79,3.33,1.79,pinnacle:1.81; bovada:1.78; coolbet:1.78,0.000014,3,0.004390,0.004138,0.000009,3,0.003477,0.002862
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.55,williamhill,9,0.3354,0.02,0.62,6.53,1.53,williamhill:1.55; unibet:1.53; unibet_se:1.53; casumo:1.53; unibet_nl:1.53; leovegas:1.53; grosvenor:1.53; tabtouch:1.53; leovegas_se:1.51,0.000013,9,0.004029,0.001918,0.000002,9,0.001588,0.001061
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Over 3.0,2.04,pinnacle,3,0.2313,0.0167,0.84,3.07,2.0233,pinnacle:2.04; coolbet:2.03; bovada:2.0,0.000013,3,0.004171,0.003821,0.000001,3,0.001081,0.001018
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Over 3.75,1.9,pinnacle,2,0.258,0.015,0.8,3.14,1.885,pinnacle:1.9; bovada:1.87,0.000013,2,0.004222,0.004222,0.000000,2,0.000081,0.000081
AEL vs Atromitos Athens,2025-12-21 10:30:00,Super League,Goles (Over/Under),Over 2.0,1.79,pinnacle,3,0.1091,0.0133,0.7,3.94,1.7767,pinnacle:1.79; coolbet:1.78; bovada:1.76,0.000012,3,0.003962,0.003535,0.000013,3,0.004275,0.003939
AVS Futebol SAD vs Nacional,2025-12-21 10:30:00,Primeira Liga,Goles (Over/Under),Under 2.25,1.92,pinnacle,2,0.1988,0.015,0.79,3.37,1.905,pinnacle:1.92; bovada:1.89,0.000012,2,0.004134,0.004134,0.000000,2,0.000680,0.000680
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Under 2.25,1.92,pinnacle,2,0.1988,0.015,0.79,3.37,1.905,pinnacle:1.92; bovada:1.89,0.000012,2,0.004134,0.004134,0.000000,2,0.000680,0.000680
FSV Mainz 05 vs FC St. Pauli,2025-12-21 09:30:00,Bundesliga,Goles (Over/Under),Over 2.25,1.92,pinnacle,2,0.331,0.015,0.79,2.84,1.905,pinnacle:1.92; bovada:1.89,0.000012,2,0.004134,0.004134,0.000000,2,0.000596,0.000596
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Under 3.75,1.98,pinnacle,2,0.258,0.015,0.76,3.14,1.965,pinnacle:1.98; bovada:1.95,0.000011,2,0.003885,0.003885,0.000000,2,0.000081,0.000081
Sassuolo vs Torino,2025-12-21 09:00:00,Serie A,Goles (Over/Under),Over 2.25,1.98,pinnacle,2,0.3322,0.015,0.76,2.86,1.965,pinnacle:1.98; bovada:1.95,0.000011,2,0.003885,0.003885,0.000000,2,0.000737,0.000737
Fortuna Sittard vs AZ Alkmaar,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Over 3.0,1.98,bovada,3,0.1886,0.01,0.72,4.56,1.97,bovada:1.98; coolbet:1.98; pinnacle:1.95,0.000010,3,0.003663,0.003453,0.000011,3,0.003934,0.003586
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Over 2.0,1.83,coolbet,3,0.1729,0.0167,0.69,2.95,1.8133,coolbet:1.83; pinnacle:1.81; bovada:1.8,0.000010,3,0.003783,0.003366,0.000003,3,0.002133,0.001902
Elche CF vs Rayo Vallecano,2025-12-21 12:30:00,La Liga,Goles (Over/Under),Under 2.0,2.09,pinnacle,3,0.1161,0.02,0.79,3.1,2.07,pinnacle:2.09; coolbet:2.07; bovada:2.05,0.000010,3,0.003811,0.003122,0.000003,3,0.002133,0.001902
Tondela vs Casa Pia,2025-12-21 13:00:00,Primeira Liga,Goles (Over/Under),Over 2.25,2.01,pinnacle,2,0.151,0.015,0.75,3.51,1.995,pinnacle:2.01; bovada:1.98,0.000010,2,0.003769,0.003769,0.000001,2,0.001204,0.001204
Sint Truiden vs KV Mechelen,2025-12-21 10:00:00,Belgium First Div,Goles (Over/Under),Under 3.0,1.73,coolbet,2,-0.1459,0.01,0.58,7.06,1.72,coolbet:1.73; bovada:1.71,0.000008,2,0.003380,0.003380,0.000053,2,0.008551,0.008551
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Over 3.0,1.77,bovada,2,0.0777,0.01,0.57,4.12,1.76,bovada:1.77; coolbet:1.75,0.000008,2,0.003228,0.003228,0.000001,2,0.001409,0.001409
SC Preußen Münster vs Elversberg,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.7,bovada,15,0.7,0.022,0.5,4.7,1.678,bovada:1.7; unibet:1.68; leovegas_se:1.68; leovegas:1.68; unibet_nl:1.68; tabtouch:1.68; casumo:1.68; unibet_se:1.68; grosvenor:1.68; betsson:1.68; nordicbet:1.68; tipico_de:1.67; betmgm:1.67; williamhill:1.67; codere_it:1.66,0.000007,15,0.002952,0.001996,0.000017,15,0.004817,0.003883
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Under 3.0,2.05,bovada,3,-0.0461,0.0167,0.61,4.34,2.0333,bovada:2.05; pinnacle:2.03; coolbet:2.02,0.000007,3,0.003010,0.002678,0.000014,3,0.004402,0.003903
FC Lugano vs BSC Young Boys,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 3.0,2.01,pinnacle,3,0.3127,0.0133,0.62,3.23,1.9967,pinnacle:2.01; coolbet:2.0; bovada:1.98,0.000007,3,0.003136,0.002797,0.000006,3,0.002887,0.002691
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 1.75,1.82,pinnacle,2,0.1692,0.01,0.55,3.25,1.81,pinnacle:1.82; bovada:1.8,0.000007,2,0.003053,0.003053,0.000000,2,0.000167,0.000167
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Over 2.5,2.23,unibet,14,-0.0615,0.0121,0.64,8.95,2.2179,unibet:2.23; grosvenor:2.23; leovegas:2.23; tabtouch:2.23; casumo:2.23; leovegas_se:2.23; unibet_nl:2.23; unibet_se:2.23; codere_it:2.21; betsson:2.2; nordicbet:2.2; betmgm:2.2; tipico_de:2.2; williamhill:2.2,0.000006,14,0.002900,0.002827,0.000023,14,0.005527,0.005020
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Under 2.25,1.85,pinnacle,2,0.3216,0.01,0.54,2.83,1.84,pinnacle:1.85; bovada:1.83,0.000006,2,0.002954,0.002954,0.000002,2,0.001724,0.001724
Girona vs Atlético Madrid,2025-12-21 08:00:00,La Liga,Goles (Over/Under),Under 2.75,1.89,pinnacle,2,0.3162,0.01,0.53,2.91,1.88,pinnacle:1.89; bovada:1.87,0.000006,2,0.002829,0.002829,0.000002,2,0.001834,0.001834
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Over 2.25,1.87,pinnacle,2,0.2651,0.01,0.54,2.98,1.86,pinnacle:1.87; bovada:1.85,0.000006,2,0.002891,0.002891,0.000001,2,0.001154,0.001154
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.25,1.87,pinnacle,2,0.1552,0.01,0.54,3.48,1.86,pinnacle:1.87; bovada:1.85,0.000006,2,0.002891,0.002891,0.000000,2,0.000088,0.000088
FC Volendam vs Sparta Rotterdam,2025-12-21 10:45:00,Eredivisie,Goles (Over/Under),Under 3.0,1.87,bovada,3,0.1723,0.0067,0.51,4.76,1.8633,bovada:1.87; coolbet:1.87; pinnacle:1.85,0.000005,3,0.002725,0.002569,0.000007,3,0.003087,0.002910
Go Ahead Eagles vs Groningen,2025-12-21 08:30:00,Eredivisie,Goles (Over/Under),Over 2.75,1.93,pinnacle,2,0.2581,0.01,0.52,3.1,1.92,pinnacle:1.93; bovada:1.91,0.000005,2,0.002713,0.002713,0.000001,2,0.001289,0.001289
AVS Futebol SAD vs Nacional,2025-12-21 10:30:00,Primeira Liga,Goles (Over/Under),Over 2.25,1.95,pinnacle,2,0.1988,0.01,0.52,3.37,1.94,pinnacle:1.95; bovada:1.93,0.000005,2,0.002657,0.002657,0.000000,2,0.000680,0.000680
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Over 2.25,1.95,pinnacle,2,0.1988,0.01,0.52,3.37,1.94,pinnacle:1.95; bovada:1.93,0.000005,2,0.002657,0.002657,0.000000,2,0.000680,0.000680
CD Mirandés vs Córdoba,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Under 2.25,2.0,pinnacle,2,0.1552,0.01,0.5,3.48,1.99,pinnacle:2.0; bovada:1.98,0.000005,2,0.002525,0.002525,0.000000,2,0.000088,0.000088
1. FC Heidenheim vs Bayern Munich,2025-12-21 11:30:00,Bundesliga,Goles (Over/Under),Over 4.0,2.04,pinnacle,3,0.0109,0.0133,0.47,3.66,2.0267,pinnacle:2.04; coolbet:2.02; bovada:2.02,0.000004,3,0.002288,0.002157,0.000009,3,0.003473,0.003247
Aston Villa vs Manchester United,2025-12-21 11:30:00,EPL,Goles (Over/Under),Under 3.0,1.85,pinnacle,3,0.2313,0.01,0.44,3.07,1.84,pinnacle:1.85; coolbet:1.84; bovada:1.83,0.000004,3,0.002412,0.001973,0.000001,3,0.001081,0.001018
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 1.75,2.07,pinnacle,2,0.1692,0.01,0.49,3.25,2.06,pinnacle:2.07; bovada:2.05,0.000004,2,0.002357,0.002357,0.000000,2,0.000167,0.000167
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 2.25,1.83,pinnacle,2,0.1975,0.005,0.27,3.19,1.825,pinnacle:1.83; bovada:1.82,0.000002,2,0.001501,0.001501,0.000002,2,0.001761,0.001761
Tondela vs Casa Pia,2025-12-21 13:00:00,Primeira Liga,Goles (Over/Under),Under 2.25,1.86,pinnacle,2,0.151,0.005,0.27,3.51,1.855,pinnacle:1.86; bovada:1.85,0.000002,2,0.001453,0.001453,0.000001,2,0.001204,0.001204
Real Sociedad B vs AD Ceuta FC,2025-12-21 10:15:00,La Liga 2,Goles (Over/Under),Over 2.25,2.01,pinnacle,2,0.2198,0.005,0.25,3.23,2.005,pinnacle:2.01; bovada:2.0,0.000001,2,0.001244,0.001244,0.000003,2,0.002076,0.002076
FC Utrecht vs PSV Eindhoven,2025-12-21 06:15:00,Eredivisie,Goles (Over/Under),Over 3.25,2.05,pinnacle,2,0.2686,0.0,0.0,2.83,2.05,pinnacle:2.05; bovada:2.05,0.000000,2,0.000000,0.000000,0.000008,2,0.003413,0.003413
Grasshopper Zürich vs FC St Gallen,2025-12-21 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.75,1.93,pinnacle,2,0.1515,0.0,0.0,3.63,1.93,pinnacle:1.93; bovada:1.93,0.000000,2,0.000000,0.000000,0.000005,2,0.002618,0.002618
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Under 3.0,2.1,coolbet,2,-0.0672,0.0,0.0,4.76,2.1,coolbet:2.1; bovada:2.1,0.000000,2,0.000000,0.000000,0.000001,2,0.001409,0.001409
