Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
Tondela vs Casa Pia,2025-12-21 13:00:00,Primeira Liga,Goles (Over/Under),Over 2.5,2.33,unibet,13,-0.0777,0.0515,2.88,9.14,2.2785,unibet:2.33; unibet_se:2.33; grosvenor:2.33; tabtouch:2.33; unibet_nl:2.33; leovegas_se:2.33; casumo:2.33; leovegas:2.32; nordicbet:2.22; betsson:2.22; tipico_de:2.2; williamhill:2.2; betmgm:2.15,0.000122,13,0.012904,0.012121,0.000183,13,0.015660,0.015128
Villarreal vs Barcelona,2025-12-21 10:15:00,La Liga,Goles (Over/Under),Over 3.5,1.73,codere_it,13,0.5964,0.0731,2.11,3.89,1.6569,codere_it:1.73; betsson:1.7; nordicbet:1.7; betmgm:1.69; tipico_de:1.67; leovegas_se:1.64; grosvenor:1.64; casumo:1.63; unibet_se:1.63; unibet:1.63; tabtouch:1.63; unibet_nl:1.63; leovegas:1.62,0.000118,13,0.012534,0.011375,0.000096,13,0.011424,0.010931
TSG Hoffenheim II vs Wehen Wiesbaden,2025-12-21 10:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.61,casumo,11,-0.1087,0.0227,1.9,11.13,1.5873,casumo:1.61; leovegas_se:1.61; leovegas:1.61; grosvenor:1.61; tabtouch:1.61; unibet_se:1.61; unibet:1.61; tipico_de:1.55; betsson:1.55; nordicbet:1.55; codere_it:1.54,0.000114,11,0.012119,0.011612,0.000289,11,0.019756,0.018811
TSV Havelse vs Alemannia Aachen,2025-12-21 07:30:00,3. Liga,Goles (Over/Under),Over 3.0,2.1,bovada,3,-0.0574,0.0733,2.59,6.79,2.0267,bovada:2.1; coolbet:2.0; pinnacle:1.98,0.000114,3,0.012584,0.011704,0.000180,3,0.015758,0.013439
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Over 2.25,1.94,pinnacle,2,0.2395,0.045,2.37,3.09,1.895,pinnacle:1.94; bovada:1.85,0.000114,2,0.012538,0.012538,0.000052,2,0.008486,0.008486
Real Betis vs Getafe,2025-12-21 15:00:00,La Liga,Goles (Over/Under),Under 2.0,2.15,coolbet,3,0.1462,0.0733,2.62,3.01,2.0767,coolbet:2.15; pinnacle:2.06; bovada:2.02,0.000113,3,0.012478,0.011168,0.000074,3,0.010101,0.009487
Royal Antwerp vs Anderlecht,2025-12-21 12:30:00,Belgium First Div,Goles (Over/Under),Under 2.5,1.88,pinnacle,16,0.9971,0.075,2.26,3.44,1.805,pinnacle:1.88; bovada:1.87; coolbet:1.85; tipico_de:1.85; nordicbet:1.83; betsson:1.83; betmgm:1.8; unibet:1.79; unibet_nl:1.79; casumo:1.79; grosvenor:1.79; unibet_se:1.79; tabtouch:1.77; leovegas:1.75; leovegas_se:1.75; williamhill:1.75,0.000113,16,0.012439,0.010642,0.000039,16,0.007340,0.006858
Málaga vs Almería,2025-12-21 08:00:00,La Liga 2,Goles (Over/Under),Over 2.5,2.0,pinnacle,17,1.7354,0.0382,2.36,2.91,1.9618,pinnacle:2.0; casumo:2.0; grosvenor:2.0; tabtouch:2.0; unibet:2.0; unibet_nl:2.0; leovegas:2.0; unibet_se:2.0; coolbet:1.98; leovegas_se:1.97; williamhill:1.95; bovada:1.95; betmgm:1.95; betsson:1.9; codere_it:1.9; nordicbet:1.9; tipico_de:1.85,0.000110,17,0.012332,0.010317,0.000128,17,0.013306,0.012356
Burgos CF vs Zaragoza,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Over 1.5,1.57,betmgm,13,-0.0033,0.0515,1.79,9.15,1.5185,betmgm:1.57; codere_it:1.56; betsson:1.55; nordicbet:1.55; tipico_de:1.52; unibet:1.5; casumo:1.5; tabtouch:1.5; unibet_se:1.5; grosvenor:1.5; unibet_nl:1.5; leovegas:1.5; leovegas_se:1.49,0.000107,13,0.011609,0.010409,0.000075,13,0.010013,0.009022
FC Lausanne-Sport vs FC Luzern,2025-12-21 08:00:00,Swiss Superleague,Goles (Over/Under),Under 3.5,1.61,codere_it,5,0.3442,0.04,1.85,6.16,1.57,codere_it:1.61; tipico_de:1.6; betsson:1.55; nordicbet:1.55; betmgm:1.54,0.000106,5,0.011678,0.011279,0.000023,5,0.005582,0.005101
