fixture_id,bookmaker_id,bookmaker,line,over_odds,under_odds,match,league,starts_at,source,side,odds_decimal,event_id,odds_american
1378047.0,16,Unibet,1.5,1.41,2.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.8,,
1378047.0,16,Unibet,1.75,1.55,2.45,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.55,,
1378047.0,16,Unibet,1.75,1.55,2.45,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.45,,
1378047.0,16,Unibet,2.0,1.75,2.07,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.75,,
1378047.0,16,Unibet,2.0,1.75,2.07,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.07,,
1378047.0,16,Unibet,2.25,2.07,1.75,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.07,,
1378047.0,16,Unibet,2.25,2.07,1.75,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.75,,
1378047.0,16,Unibet,2.5,2.35,1.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.35,,
1378047.0,16,Unibet,2.5,2.35,1.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.56,,
1378047.0,16,Unibet,2.75,2.85,1.42,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.85,,
1378047.0,16,Unibet,2.75,2.85,1.42,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.42,,
1378047.0,16,Unibet,3.5,4.6,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.6,,
1378047.0,16,Unibet,3.5,4.6,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.18,,
1378047.0,16,Unibet,0.5,1.07,8.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.07,,
1378047.0,16,Unibet,0.5,1.07,8.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,8.0,,
1378047.0,16,Unibet,3.0,3.75,1.27,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.75,,
1378047.0,16,Unibet,3.0,3.75,1.27,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.27,,
1378047.0,16,Unibet,4.5,10.5,1.03,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,10.5,,
1378047.0,16,Unibet,4.5,10.5,1.03,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.03,,
1378047.0,3,Betfair,1.5,1.44,2.7,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,3,Betfair,1.5,1.44,2.7,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.7,,
1378047.0,3,Betfair,2.5,2.45,1.53,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.45,,
1378047.0,3,Betfair,2.5,2.45,1.53,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.53,,
1378047.0,3,Betfair,3.5,4.5,1.2,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.5,,
1378047.0,3,Betfair,3.5,4.5,1.2,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.2,,
1378047.0,3,Betfair,0.5,1.07,8.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.07,,
1378047.0,3,Betfair,0.5,1.07,8.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,8.0,,
1378047.0,3,Betfair,4.5,10.0,1.05,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,10.0,,
1378047.0,3,Betfair,4.5,10.0,1.05,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.05,,
1378047.0,13,188Bet,2.25,2.08,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.08,,
1378047.0,13,188Bet,2.25,2.08,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.82,,
1378047.0,4,Pinnacle,1.5,1.44,2.88,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,4,Pinnacle,1.5,1.44,2.88,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.88,,
1378047.0,4,Pinnacle,1.75,1.56,2.53,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.56,,
1378047.0,4,Pinnacle,1.75,1.56,2.53,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.53,,
1378047.0,4,Pinnacle,2.0,1.76,2.14,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.76,,
1378047.0,4,Pinnacle,2.0,1.76,2.14,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.14,,
1378047.0,4,Pinnacle,2.25,2.09,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.09,,
1378047.0,4,Pinnacle,2.25,2.09,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.82,,
1378047.0,4,Pinnacle,2.5,2.38,1.62,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.38,,
1378047.0,4,Pinnacle,2.5,2.38,1.62,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.62,,
1378047.0,4,Pinnacle,2.75,2.83,1.46,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.83,,
1378047.0,4,Pinnacle,2.75,2.83,1.46,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.46,,
1378047.0,4,Pinnacle,1.25,1.28,3.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.28,,
1378047.0,4,Pinnacle,1.25,1.28,3.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.8,,
1378047.0,4,Pinnacle,3.0,3.68,1.3,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.68,,
1378047.0,4,Pinnacle,3.0,3.68,1.3,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.3,,
1378047.0,4,Pinnacle,3.25,4.11,1.25,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.11,,
1378047.0,4,Pinnacle,3.25,4.11,1.25,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.25,,
1378047.0,5,SBO,1.75,1.54,2.47,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.54,,
1378047.0,5,SBO,1.75,1.54,2.47,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.47,,
1378047.0,5,SBO,2.0,1.76,2.11,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.76,,
1378047.0,5,SBO,2.0,1.76,2.11,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.11,,
1378047.0,5,SBO,2.25,2.04,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.04,,
1378047.0,5,SBO,2.25,2.04,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.82,,
1378047.0,5,SBO,2.5,2.35,1.6,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.35,,
1378047.0,5,SBO,2.5,2.35,1.6,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.6,,
1378047.0,11,1xBet,1.5,1.45,2.81,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.45,,
1378047.0,11,1xBet,1.5,1.45,2.81,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.81,,
1378047.0,11,1xBet,1.75,1.54,2.39,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.54,,
1378047.0,11,1xBet,1.75,1.54,2.39,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.39,,
1378047.0,11,1xBet,2.0,1.73,2.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.73,,
1378047.0,11,1xBet,2.0,1.73,2.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.02,,
1378047.0,11,1xBet,2.25,2.01,1.72,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.01,,
1378047.0,11,1xBet,2.25,2.01,1.72,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.72,,
1378047.0,11,1xBet,2.5,2.43,1.66,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.43,,
1378047.0,11,1xBet,2.5,2.43,1.66,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.66,,
1378047.0,11,1xBet,2.75,2.69,1.39,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.69,,
1378047.0,11,1xBet,2.75,2.69,1.39,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.39,,
1378047.0,11,1xBet,3.5,4.3,1.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.3,,
1378047.0,11,1xBet,3.5,4.3,1.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.15,,
1378047.0,11,1xBet,0.5,1.05,7.5,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.05,,
1378047.0,11,1xBet,0.5,1.05,7.5,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,7.5,,
1378047.0,11,1xBet,0.75,1.07,6.85,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.07,,
1378047.0,11,1xBet,0.75,1.07,6.85,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,6.85,,
1378047.0,11,1xBet,1.0,1.1,6.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.1,,
1378047.0,11,1xBet,1.0,1.1,6.15,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,6.15,,
1378047.0,11,1xBet,1.25,1.27,3.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.27,,
1378047.0,11,1xBet,1.25,1.27,3.56,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.56,,
1378047.0,11,1xBet,3.0,3.52,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.52,,
1378047.0,11,1xBet,3.0,3.52,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.23,,
1378047.0,11,1xBet,4.5,9.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,9.0,,
1378047.0,11,1xBet,4.5,9.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.0,,
1378047.0,11,1xBet,3.25,3.9,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.9,,
1378047.0,11,1xBet,3.25,3.9,1.18,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.18,,
1378047.0,11,1xBet,3.75,5.5,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,5.5,,
1378047.0,11,1xBet,3.75,5.5,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.08,,
1378047.0,11,1xBet,4.0,8.2,1.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.2,,
1378047.0,11,1xBet,4.0,8.2,1.02,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.02,,
1378047.0,11,1xBet,4.25,8.7,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.7,,
1378047.0,11,1xBet,4.25,8.7,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.01,,
1378047.0,11,1xBet,5.0,15.5,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,15.5,,
1378047.0,11,1xBet,5.0,15.5,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.01,,
1378047.0,11,1xBet,5.5,19.0,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,19.0,,
1378047.0,11,1xBet,5.5,19.0,1.01,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.01,,
1378047.0,11,1xBet,6.5,41.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,41.0,,
1378047.0,11,1xBet,6.5,41.0,1.0,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.0,,
1378047.0,32,Betano,1.5,1.45,2.85,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.45,,
1378047.0,32,Betano,1.5,1.45,2.85,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.85,,
1378047.0,32,Betano,1.75,1.57,2.5,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.57,,
1378047.0,32,Betano,1.75,1.57,2.5,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.5,,
1378047.0,32,Betano,2.0,1.75,2.12,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.75,,
1378047.0,32,Betano,2.0,1.75,2.12,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.12,,
1378047.0,32,Betano,2.25,2.05,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.05,,
