Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Toluca vs Tigres,2025-12-14 20:00:00,Liga MX,Doble Chance,1X,1.24,pinnacle,3,0.3642,0.0067,0.38,5.19,1.2333,pinnacle:1.24; betsson:1.23; marathonbet:1.23,41.1,2-1,Acertado,,,
SV Darmstadt 98 vs SC Preußen Münster,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Under 2.5,2.18,betsson,2,0.0251,0.01,0.46,8.37,2.17,betsson:2.18; codere_it:2.16,41.08,1-0,Acertado,,,
Panetolikos Agrinio vs AEK Athens,2025-12-14 10:30:00,Super League,Goles (Over/Under),Under 2.5,1.88,pinnacle,3,0.5089,0.0467,2.24,3.95,1.8333,pinnacle:1.88; betsson:1.84; codere_it:1.78,40.99,0-5,Fallido,,,
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Goles (Over/Under),Over 3.5,2.13,codere_it,2,-0.1212,0.005,0.24,7.92,2.125,codere_it:2.13; betsson:2.12,40.56,1-3,Acertado,,,
AS Roma vs Como,2025-12-15 14:45:00,Serie A,Goles (Over/Under),Under 2.5,1.69,codere_it,2,0.3517,0.02,1.2,3.81,1.67,codere_it:1.69; betsson:1.65,40.33,1-0,Acertado,Descanso,ESPN,2025-12-15T20:48:07+00:00
RB Salzburg vs Wolfsberger AC,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Over 2.5,1.68,betsson,2,-0.1145,0.015,0.9,7.6,1.665,betsson:1.68; codere_it:1.65,40.31,2-1,Acertado,,,
Charleroi vs Union Saint-Gilloise,2025-12-14 12:30:00,Belgium First Div,Goles (Over/Under),Under 2.5,1.84,pinnacle,2,0.4392,0.04,2.22,3.37,1.8,pinnacle:1.84; betsson:1.76,39.82,1-1,Acertado,,,
Sunderland vs Newcastle United,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.3675,0.0233,1.81,2.83,1.8267,pinnacle:1.85; codere_it:1.85; betsson:1.78,39.82,1-0,Acertado,,,
Legia Warszawa vs Piast Gliwice,2025-12-14 14:15:00,Ekstraklasa,Goles (Over/Under),Under 2.5,1.75,betsson,2,0.0941,0.01,0.57,7.65,1.74,betsson:1.75; codere_it:1.73,39.18,0-1,Acertado,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Goles (Over/Under),Under 3.5,1.59,codere_it,2,0.04,0.015,0.95,6.0,1.575,codere_it:1.59; betsson:1.56,39.06,0-3,Acertado,,,
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Goles (Over/Under),Under 3.5,1.72,codere_it,2,0.1109,0.02,1.18,6.22,1.7,codere_it:1.72; betsson:1.68,39.02,2-0,Acertado,,,
Zaragoza vs Cádiz CF,2025-12-13 15:00:00,La Liga 2,Doble Chance,1X,1.29,pinnacle,3,0.9003,0.0267,1.63,3.41,1.2633,pinnacle:1.29; marathonbet:1.26; betsson:1.24,39.01,1-2,Fallido,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Goles (Over/Under),Under 2.5,1.67,codere_it,2,0.3613,0.025,1.52,3.93,1.645,codere_it:1.67; betsson:1.62,38.71,4-0,Fallido,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Goles (Over/Under),Under 2.5,1.7,betsson,2,0.2638,0.015,0.89,5.99,1.685,betsson:1.7; codere_it:1.67,38.69,0-3,Fallido,,,
Albacete vs Málaga,2025-12-14 10:15:00,La Liga 2,Doble Chance,1X,1.25,pinnacle,4,0.8354,0.02,1.15,4.07,1.23,pinnacle:1.25; betsson:1.23; marathonbet:1.23; codere_it:1.21,38.67,1-3,Fallido,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Goles (Over/Under),Under 2.5,1.8,betsson,2,0.4419,0.035,1.98,4.82,1.765,betsson:1.8; codere_it:1.73,38.66,0-0,Acertado,,,
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Doble Chance,X2,4.12,betsson,4,0.1522,0.355,7.03,6.24,3.765,betsson:4.12; pinnacle:3.92; codere_it:3.51; marathonbet:3.51,38.29,4-0,Fallido,,,
FC Twente Enschede vs Go Ahead Eagles,2025-12-14 08:30:00,Eredivisie,Doble Chance,X2,3.1,betsson,4,0.0821,0.1625,3.69,5.24,2.9375,betsson:3.1; codere_it:2.95; pinnacle:2.9; marathonbet:2.8,38.09,2-0,Fallido,,,
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Doble Chance,1X,1.21,pinnacle,4,0.1534,0.0025,0.36,3.65,1.2075,pinnacle:1.21; betsson:1.21; marathonbet:1.21; codere_it:1.2,37.86,0-0,Acertado,,,
Wellington Phoenix FC vs Newcastle Jets FC,2025-12-13 21:00:00,A-League,Goles (Over/Under),Under 3.5,1.7,betsson,2,0.1619,0.03,1.8,5.99,1.67,betsson:1.7; codere_it:1.64,37.75,1-3,Fallido,,,
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Goles (Over/Under),Under 2.5,1.65,betsson,2,0.3221,0.02,1.23,5.65,1.63,betsson:1.65; codere_it:1.61,37.53,1-2,Fallido,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Goles (Over/Under),Under 2.5,2.12,betsson,2,0.4205,0.045,2.17,4.97,2.075,betsson:2.12; codere_it:2.03,37.45,2-1,Fallido,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,2.2,betsson,2,0.3936,0.04,1.85,4.98,2.16,betsson:2.2; codere_it:2.12,37.43,0-3,Fallido,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Goles (Over/Under),Under 2.5,2.01,betsson,2,0.396,0.04,2.03,5.0,1.97,betsson:2.01; codere_it:1.93,37.01,2-0,Acertado,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Goles (Over/Under),Under 2.5,2.25,betsson,2,0.0904,0.015,0.67,7.74,2.235,betsson:2.25; codere_it:2.22,36.42,3-1,Fallido,,,
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Doble Chance,1X,2.05,pinnacle,4,0.9315,0.1075,3.59,3.65,1.9425,pinnacle:2.05; marathonbet:1.95; betsson:1.91; codere_it:1.86,36.21,0-2,Fallido,,,
FC Twente Enschede vs Go Ahead Eagles,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Under 3.5,1.65,codere_it,2,0.0248,0.02,1.23,6.06,1.63,codere_it:1.65; betsson:1.61,36.17,2-0,Acertado,,,
Udinese vs Napoli,2025-12-14 09:00:00,Serie A,Goles (Over/Under),Under 2.5,1.62,codere_it,2,0.3342,0.035,2.21,3.92,1.585,codere_it:1.62; betsson:1.55,35.85,1-0,Acertado,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Under 2.5,2.08,betsson,2,0.0934,0.015,0.73,7.6,2.065,betsson:2.08; codere_it:2.05,35.33,4-2,Fallido,,,
Celta Vigo vs Athletic Bilbao,2025-12-14 10:15:00,La Liga,Goles (Over/Under),Under 2.5,1.68,betsson,2,0.1659,0.015,0.9,6.69,1.665,betsson:1.68; codere_it:1.65,35.28,2-0,Acertado,,,
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Doble Chance,1X,1.2,pinnacle,4,0.8129,0.04,2.02,4.17,1.16,pinnacle:1.2; marathonbet:1.15; betsson:1.15; codere_it:1.14,34.13,1-2,Fallido,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Doble Chance,1X,1.5,pinnacle,4,0.6557,0.03,1.27,3.34,1.47,pinnacle:1.5; betsson:1.47; codere_it:1.46; marathonbet:1.45,33.53,1-0,Acertado,,,
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Doble Chance,1X,1.33,pinnacle,4,0.5393,0.0125,0.83,3.82,1.3175,pinnacle:1.33; betsson:1.32; codere_it:1.32; marathonbet:1.3,33.46,0-2,Fallido,,,
Celta Vigo vs Athletic Bilbao,2025-12-14 10:15:00,La Liga,Doble Chance,1X,1.5,pinnacle,4,0.295,0.0125,0.56,3.22,1.4875,pinnacle:1.5; marathonbet:1.49; codere_it:1.48; betsson:1.48,32.92,2-0,Acertado,,,
SC Freiburg vs Borussia Dortmund,2025-12-14 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,2.02,betsson,2,0.2887,0.045,2.28,5.68,1.975,betsson:2.02; codere_it:1.93,32.77,1-1,Acertado,,,
CD Castellón vs CD Mirandés,2025-12-15 14:30:00,La Liga 2,Goles (Over/Under),Under 2.5,2.08,betsson,2,0.1092,0.02,0.97,7.6,2.06,betsson:2.08; codere_it:2.04,32.42,3-1,Fallido,En juego,ESPN / LiveScore,2025-12-15T20:48:07+00:00
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Doble Chance,1X,1.24,pinnacle,4,0.2917,0.01,0.57,3.36,1.23,pinnacle:1.24; betsson:1.23; marathonbet:1.23; codere_it:1.22,32.25,1-2,Fallido,,,
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Goles (Over/Under),Under 2.5,1.65,betsson,2,0.2114,0.025,1.54,6.48,1.625,betsson:1.65; codere_it:1.6,32.12,0-1,Acertado,,,
Lyon vs Le Havre,2025-12-14 09:00:00,Ligue 1,Doble Chance,1X,1.17,marathonbet,4,0.393,0.0125,0.72,3.13,1.1575,marathonbet:1.17; pinnacle:1.16; betsson:1.15; codere_it:1.15,32.07,1-0,Acertado,,,
SV Darmstadt 98 vs SC Preußen Münster,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.6,codere_it,2,-0.025,0.0,0.0,8.8,1.6,codere_it:1.6; betsson:1.6,31.52,1-0,Fallido,,,
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Doble Chance,1X,1.52,pinnacle,4,0.7687,0.0575,2.48,4.54,1.4625,pinnacle:1.52; marathonbet:1.46; betsson:1.45; codere_it:1.42,31.5,1-1,Acertado,,,
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Doble Chance,1X,1.21,pinnacle,4,0.642,0.02,1.33,4.33,1.19,pinnacle:1.21; betsson:1.2; marathonbet:1.18; codere_it:1.17,31.4,2-1,Acertado,,,
RB Salzburg vs Wolfsberger AC,2025-12-14 08:30:00,Austrian Bundesliga,Doble Chance,1X,1.24,pinnacle,3,0.7045,0.03,1.79,4.4,1.21,pinnacle:1.24; codere_it:1.2; betsson:1.19,31.27,2-1,Acertado,,,
Legia Warszawa vs Piast Gliwice,2025-12-14 14:15:00,Ekstraklasa,Doble Chance,1X,1.29,pinnacle,4,0.7574,0.0525,2.52,4.41,1.2375,pinnacle:1.29; betsson:1.23; marathonbet:1.22; codere_it:1.21,31.23,0-1,Fallido,,,
Fatih Karagümrük vs Kocaelispor,2025-12-14 09:00:00,Super League,Goles (Over/Under),Under 2.5,1.72,betsson,2,0.2,0.03,1.78,6.45,1.69,betsson:1.72; codere_it:1.66,30.92,1-1,Acertado,,,
Braga vs Santa Clara,2025-12-15 13:45:00,Primeira Liga,Doble Chance,1X,1.08,pinnacle,3,0.1548,0.0033,0.44,5.75,1.0767,pinnacle:1.08; betsson:1.08; marathonbet:1.07,30.85,1-0,Acertado,En juego,BBC,2025-12-15T20:48:07+00:00
Gent vs Royal Antwerp,2025-12-14 07:30:00,Belgium First Div,Doble Chance,1X,1.35,pinnacle,3,0.5037,0.0167,0.94,4.01,1.3333,pinnacle:1.35; betsson:1.33; marathonbet:1.32,30.74,0-2,Fallido,,,
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Goles (Over/Under),Under 2.5,2.22,betsson,2,0.1925,0.04,1.83,6.39,2.18,betsson:2.22; codere_it:2.14,30.57,3-3,Fallido,,,
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.22,pinnacle,4,0.6496,0.03,1.78,3.91,1.19,pinnacle:1.22; codere_it:1.2; betsson:1.17; marathonbet:1.17,30.22,1-0,Acertado,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,1X,1.38,pinnacle,4,0.625,0.035,1.7,3.92,1.345,pinnacle:1.38; codere_it:1.35; marathonbet:1.33; betsson:1.32,29.73,4-2,Acertado,,,
Rangers vs Hibernian,2025-12-15 14:45:00,Premiership,Goles (Over/Under),Under 2.5,1.98,betsson,2,0.1632,0.035,1.8,6.68,1.945,betsson:1.98; codere_it:1.91,29.65,1-0,Acertado,Descanso,Sky Sports,2025-12-15T20:48:07+00:00
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Doble Chance,1X,1.52,pinnacle,4,0.6184,0.0325,1.46,4.77,1.4875,pinnacle:1.52; marathonbet:1.49; betsson:1.48; codere_it:1.46,29.59,1-1,Acertado,,,
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Doble Chance,1X,1.13,pinnacle,4,0.5172,0.015,1.0,4.93,1.115,pinnacle:1.13; betsson:1.12; marathonbet:1.11; codere_it:1.1,29.57,0-1,Fallido,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Goles (Over/Under),Under 2.5,2.12,codere_it,2,0.1352,0.035,1.68,5.99,2.085,codere_it:2.12; betsson:2.05,29.55,1-2,Fallido,,,
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Doble Chance,1X,1.25,pinnacle,4,0.5105,0.0175,1.05,4.29,1.2325,pinnacle:1.25; codere_it:1.24; marathonbet:1.22; betsson:1.22,29.5,2-0,Acertado,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Goles (Over/Under),Under 2.5,2.02,betsson,2,0.1774,0.04,2.02,6.65,1.98,betsson:2.02; codere_it:1.94,29.48,1-2,Fallido,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Goles (Over/Under),Over 2.5,1.7,betsson,2,-0.1053,0.0,0.0,7.6,1.7,betsson:1.7; codere_it:1.7,29.47,1-2,Acertado,,,
Racing Club vs Estudiantes,2025-12-13 19:00:00,Primera División,Doble Chance,1X,1.44,pinnacle,3,0.5888,0.0233,1.85,3.21,1.4167,pinnacle:1.44; betsson:1.43; marathonbet:1.38,29.3,1-1,Acertado,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Goles (Over/Under),Under 2.5,2.16,codere_it,2,0.0307,0.025,1.17,6.18,2.135,codere_it:2.16; betsson:2.11,28.9,1-0,Acertado,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Doble Chance,1X,1.39,pinnacle,4,0.4539,0.0225,1.31,2.71,1.3675,pinnacle:1.39; marathonbet:1.38; codere_it:1.35; betsson:1.35,28.63,0-1,Fallido,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Doble Chance,1X,1.26,betsson,4,-0.1422,0.0075,0.35,4.64,1.2525,betsson:1.26; pinnacle:1.25; codere_it:1.25; marathonbet:1.25,28.62,4-0,Acertado,,,
NAC Breda vs FC Utrecht,2025-12-14 10:45:00,Eredivisie,Doble Chance,1X,1.53,pinnacle,4,0.4425,0.0175,0.98,3.91,1.5125,pinnacle:1.53; betsson:1.52; codere_it:1.51; marathonbet:1.49,28.59,1-1,Acertado,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.16,pinnacle,4,0.5443,0.02,1.39,4.06,1.14,pinnacle:1.16; codere_it:1.15; betsson:1.13; marathonbet:1.12,28.45,1-0,Acertado,,,
Famalicão vs Estoril,2025-12-14 10:30:00,Primeira Liga,Doble Chance,1X,1.22,pinnacle,3,0.5083,0.02,1.18,4.23,1.2,pinnacle:1.22; marathonbet:1.19; betsson:1.19,28.45,4-0,Acertado,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Doble Chance,1X,1.5,pinnacle,4,0.4349,0.02,1.26,2.69,1.48,pinnacle:1.5; marathonbet:1.49; codere_it:1.48; betsson:1.45,28.42,0-3,Fallido,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Goles (Over/Under),Over 1.5,1.78,codere_it,2,0.3737,0.015,0.85,3.8,1.765,codere_it:1.78; betsson:1.75,28.24,0-1,Fallido,,,
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Doble Chance,1X,1.54,pinnacle,4,0.2107,0.01,0.65,3.37,1.53,pinnacle:1.54; marathonbet:1.54; codere_it:1.52; betsson:1.52,27.64,0-1,Fallido,,,
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Doble Chance,1X,1.5,pinnacle,4,0.455,0.025,1.12,4.0,1.475,pinnacle:1.5; codere_it:1.48; betsson:1.46; marathonbet:1.46,27.58,3-3,Acertado,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,1X,1.22,pinnacle,4,0.4496,0.0175,1.08,4.27,1.2025,pinnacle:1.22; codere_it:1.21; betsson:1.19; marathonbet:1.19,27.43,0-0,Acertado,,,
RB Salzburg vs Wolfsberger AC,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Under 2.5,2.21,codere_it,2,0.1504,0.065,3.03,5.85,2.145,codere_it:2.21; betsson:2.08,27.43,2-1,Fallido,,,
Levante vs Villarreal,2025-12-14 12:30:00,La Liga,Goles (Over/Under),Under 2.5,2.38,betsson,2,0.17,0.08,3.48,6.53,2.3,betsson:2.38; codere_it:2.22,27.24,,Sin datos,Aplazado,ESPN,2025-12-15T20:48:07+00:00
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Under 3.5,1.64,codere_it,2,0.0,0.0,0.0,6.22,1.64,codere_it:1.64; betsson:1.64,27.22,2-0,Acertado,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Doble Chance,1X,1.62,pinnacle,4,0.4987,0.0375,1.44,3.91,1.5825,pinnacle:1.62; betsson:1.58; codere_it:1.57; marathonbet:1.56,27.02,0-1,Fallido,,,
Bayern Munich vs FSV Mainz 05,2025-12-14 11:30:00,Bundesliga,Goles (Over/Under),Over 4.5,2.31,codere_it,2,0.2154,0.015,0.65,3.9,2.295,codere_it:2.31; betsson:2.28,26.97,2-2,Fallido,,,
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.47,marathonbet,4,0.2476,0.015,0.77,3.19,1.455,marathonbet:1.47; pinnacle:1.46; codere_it:1.45; betsson:1.44,26.68,3-0,Acertado,,,
Fatih Karagümrük vs Kocaelispor,2025-12-14 09:00:00,Super League,Doble Chance,1X,1.6,pinnacle,4,0.5273,0.0325,1.83,3.85,1.5675,pinnacle:1.6; codere_it:1.59; marathonbet:1.55; betsson:1.53,26.48,1-1,Acertado,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Under 3.5,1.55,codere_it,2,-0.0324,0.0,0.0,8.96,1.55,codere_it:1.55; betsson:1.55,25.26,1-0,Acertado,,,
AC Milan vs Sassuolo,2025-12-14 06:30:00,Serie A,Doble Chance,1X,1.1,marathonbet,4,0.1574,0.01,0.65,3.94,1.09,marathonbet:1.1; pinnacle:1.09; codere_it:1.09; betsson:1.08,25.18,2-2,Acertado,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Doble Chance,1X,2.01,pinnacle,4,0.5659,0.095,3.01,4.17,1.915,pinnacle:2.01; codere_it:1.91; marathonbet:1.88; betsson:1.86,25.1,1-2,Fallido,,,
Sporting Lisbon vs AVS Futebol SAD,2025-12-13 15:30:00,Primeira Liga,Goles (Over/Under),Over 3.5,2.03,pinnacle,2,0.4086,0.025,1.25,4.21,2.005,pinnacle:2.03; betsson:1.98,25.01,6-0,Acertado,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Doble Chance,1X,1.7,pinnacle,3,0.4821,0.04,1.97,3.9,1.66,pinnacle:1.7; codere_it:1.66; betsson:1.62,24.67,1-1,Acertado,,,
Nacional vs Tondela,2025-12-15 12:30:00,Primeira Liga,Doble Chance,1X,1.36,pinnacle,3,0.3287,0.0167,0.93,4.99,1.3433,pinnacle:1.36; betsson:1.34; marathonbet:1.33,24.62,3-1,Acertado,Finalizado,BBC,2025-12-15T20:48:07+00:00
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Doble Chance,1X,1.65,pinnacle,4,0.415,0.0275,1.4,4.0,1.6225,pinnacle:1.65; codere_it:1.64; marathonbet:1.6; betsson:1.6,24.59,0-3,Fallido,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Doble Chance,1X,1.48,pinnacle,3,0.4981,0.0267,1.72,5.3,1.4533,pinnacle:1.48; betsson:1.46; codere_it:1.42,24.53,3-1,Acertado,,,
Charleroi vs Union Saint-Gilloise,2025-12-14 12:30:00,Belgium First Div,Doble Chance,1X,1.97,pinnacle,3,0.464,0.0467,1.77,4.03,1.9233,pinnacle:1.97; betsson:1.91; marathonbet:1.89,24.53,1-1,Acertado,,,
AS Roma vs Como,2025-12-15 14:45:00,Serie A,Doble Chance,1X,1.3,codere_it,4,0.1046,0.0075,0.64,3.73,1.2925,codere_it:1.3; marathonbet:1.3; pinnacle:1.29; betsson:1.28,24.12,1-0,Acertado,Descanso,ESPN,2025-12-15T20:48:07+00:00
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Goles (Over/Under),Under 3.5,1.6,codere_it,2,-0.0881,0.0,0.0,7.95,1.6,codere_it:1.6; betsson:1.6,23.87,4-0,Fallido,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.99,marathonbet,4,0.213,0.0225,0.91,3.24,1.9675,marathonbet:1.99; pinnacle:1.97; betsson:1.97; codere_it:1.94,23.55,0-3,Fallido,,,
Arouca vs Alverca,2025-12-14 15:30:00,Primeira Liga,Doble Chance,1X,1.5,pinnacle,3,0.25,0.0167,0.84,5.0,1.4833,pinnacle:1.5; marathonbet:1.48; betsson:1.47,23.4,1-0,Acertado,,,
Genk vs Westerlo,2025-12-14 13:15:00,Belgium First Div,Doble Chance,1X,1.23,pinnacle,3,0.3826,0.0167,1.4,4.26,1.2133,pinnacle:1.23; betsson:1.22; marathonbet:1.19,23.32,1-1,Acertado,,,
Dender vs Club Brugge,2025-12-14 10:00:00,Belgium First Div,Doble Chance,1X,2.37,pinnacle,3,0.3797,0.0367,1.41,4.24,2.3333,pinnacle:2.37; marathonbet:2.34; betsson:2.29,23.2,1-5,Fallido,,,
SC Freiburg vs Borussia Dortmund,2025-12-14 09:30:00,Bundesliga,Doble Chance,1X,1.73,pinnacle,4,0.2909,0.025,1.21,3.3,1.705,pinnacle:1.73; marathonbet:1.72; codere_it:1.69; betsson:1.68,23.05,1-1,Acertado,,,
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Doble Chance,1X,1.13,codere_it,4,-0.1283,0.005,0.44,4.99,1.125,codere_it:1.13; marathonbet:1.13; pinnacle:1.12; betsson:1.12,22.89,2-0,Acertado,,,
