Mercado,N,Rend_Total,ROI,Variable,r,p
Over 1.75,38,-9.73,-25.605263157894736,Volatilidad_Pct,0.20406122143898991,0.21911773712332844
Over 1.75,38,-9.73,-25.605263157894736,Margen_Casa_Pct,-0.039892228183651325,0.8120423973589372
Over 2.0,187,-46.45,-24.83957219251337,Mejor_Cuota,0.008934429106650559,0.9034061430391946
Over 2.0,187,-46.45,-24.83957219251337,Cuota_Promedio_Mercado,-0.0004306277329905175,0.9953329915920487
Over 2.0,187,-46.45,-24.83957219251337,BDI_jsd_fair,0.03766870617110817,0.608763254799248
Over 2.0,187,-46.45,-24.83957219251337,BDI_n_bookmakers_fair,0.015165731425556446,0.8367834606120004
Over 2.0,187,-46.45,-24.83957219251337,BDI_std_p_fair,-0.0016396941837572565,0.9822308649425722
Over 2.0,187,-46.45,-24.83957219251337,BDI_mad_p_fair,-0.007167746632725122,0.922439326425247
Over 2.0,187,-46.45,-24.83957219251337,BDI_jsd,0.01157594255170867,0.8750537455991165
Over 2.0,187,-46.45,-24.83957219251337,BDI_n_bookmakers,0.015165731425556446,0.8367834606120004
Over 2.0,187,-46.45,-24.83957219251337,BDI_std_p,-0.009682462907249964,0.8953631977811614
Over 2.0,187,-46.45,-24.83957219251337,BDI_mad_p,-0.013421055108958626,0.8553411912154298
Over 2.0,187,-46.45,-24.83957219251337,Num_Casas,0.015165731425556446,0.8367834606120004
Over 2.0,187,-46.45,-24.83957219251337,Diferencia_Cuota_Promedio,0.03793186433720016,0.6062609794438056
Over 2.0,187,-46.45,-24.83957219251337,Volatilidad_Pct,-0.01617162818231245,0.8261240771198074
Over 2.0,187,-46.45,-24.83957219251337,Margen_Casa_Pct,-0.0049568969794582945,0.9463186328983122
Over 2.25,449,-110.26,-24.556792873051226,Mejor_Cuota,-0.0031567163476400703,0.9468178840337222
Over 2.25,449,-110.26,-24.556792873051226,Cuota_Promedio_Mercado,0.007381216576921839,0.8760556320544749
Over 2.25,449,-110.26,-24.556792873051226,BDI_jsd_fair,-0.009712721276916187,0.8373846070264274
Over 2.25,449,-110.26,-24.556792873051226,BDI_n_bookmakers_fair,-0.02403141939848079,0.6115441376320095
Over 2.25,449,-110.26,-24.556792873051226,BDI_std_p_fair,-0.01440997247251669,0.7607420400600007
Over 2.25,449,-110.26,-24.556792873051226,BDI_mad_p_fair,-0.016428882985662828,0.7284599871977364
Over 2.25,449,-110.26,-24.556792873051226,BDI_jsd,-0.011741962233031646,0.8040394630552823
Over 2.25,449,-110.26,-24.556792873051226,BDI_n_bookmakers,-0.02403141939848079,0.6115441376320095
Over 2.25,449,-110.26,-24.556792873051226,BDI_std_p,-0.030870120362499937,0.5141056064149341
Over 2.25,449,-110.26,-24.556792873051226,BDI_mad_p,-0.021768316752692828,0.645493904006368
Over 2.25,449,-110.26,-24.556792873051226,Num_Casas,-0.02403141939848079,0.6115441376320095
Over 2.25,449,-110.26,-24.556792873051226,Diferencia_Cuota_Promedio,-0.04312744180167937,0.3619103599803354
Over 2.25,449,-110.26,-24.556792873051226,Volatilidad_Pct,-0.0222417603408026,0.6383272601943675
Over 2.25,449,-110.26,-24.556792873051226,Margen_Casa_Pct,-0.02952312019708328,0.5326434192996585
Over 2.5,1725,-110.2,-6.38840579710145,Mejor_Cuota,0.005038512401163246,0.8343586432434617
Over 2.5,1725,-110.2,-6.38840579710145,Cuota_Promedio_Mercado,0.0077654865719326924,0.747228502644852
Over 2.5,1725,-110.2,-6.38840579710145,BDI_jsd_fair,0.02226573790719531,0.3553771072392889
Over 2.5,1725,-110.2,-6.38840579710145,BDI_n_bookmakers_fair,-0.005871459755184079,0.807474505078196
Over 2.5,1725,-110.2,-6.38840579710145,BDI_std_p_fair,0.029157638991674183,0.22613035155902908
Over 2.5,1725,-110.2,-6.38840579710145,BDI_mad_p_fair,0.026224844583422093,0.27633151853852833
Over 2.5,1725,-110.2,-6.38840579710145,BDI_jsd,0.00926530401817021,0.7005735975999836
Over 2.5,1725,-110.2,-6.38840579710145,BDI_n_bookmakers,-0.005871459755184079,0.807474505078196
Over 2.5,1725,-110.2,-6.38840579710145,BDI_std_p,0.018253276630045032,0.44867306018778697
Over 2.5,1725,-110.2,-6.38840579710145,BDI_mad_p,0.021858055286956234,0.36425687711629945
