Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Marcador,Resultado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p
Real Madrid vs Sevilla,2025-12-20 15:00:00,La Liga,Goles (Over/Under),Under 3.5,1.93,pinnacle,3,0.7741,0.06,2.31,3.63,1.87,pinnacle:1.93; betsson:1.85; codere_it:1.83,2-0,Acertado,0.000108,3,0.012195,0.011271
Augsburg vs Werder Bremen,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.2993,0.04,2.3,5.68,1.74,betsson:1.78; codere_it:1.7,0-0,Fallido,0.000129,2,0.013219,0.013219
Volos FC vs Panetolikos Agrinio,2025-12-20 11:00:00,Super League,Goles (Over/Under),Over 2.5,2.24,betsson,2,0.4057,0.05,2.28,4.88,2.19,betsson:2.24; codere_it:2.14,1-0,Fallido,0.000079,2,0.010431,0.010431
VfL Wolfsburg vs SC Freiburg,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,2.05,pinnacle,3,1.0389,0.06,2.28,2.83,1.99,pinnacle:2.05; betsson:1.98; codere_it:1.94,3-4,Fallido,0.000094,3,0.011406,0.009979
Manchester City vs West Ham United,2025-12-20 10:00:00,EPL,Goles (Over/Under),Over 3.5,1.94,pinnacle,3,0.75,0.04,2.27,3.36,1.9,pinnacle:1.94; betsson:1.92; codere_it:1.84,3-0,Fallido,0.000107,3,0.012140,0.011258
Watford vs Stoke City,2025-12-20 10:00:00,Championship,Goles (Over/Under),Under 2.5,1.91,pinnacle,3,0.5503,0.03,2.26,3.38,1.88,pinnacle:1.91; codere_it:1.91; betsson:1.82,1-0,Acertado,0.000108,3,0.012205,0.011507
Harrogate Town vs Milton Keynes Dons,2025-12-20 10:00:00,League 2,Goles (Over/Under),Over 2.5,1.92,pinnacle,3,0.4841,0.0567,2.25,4.71,1.8633,pinnacle:1.92; betsson:1.85; codere_it:1.82,0-4,Acertado,0.000104,3,0.011957,0.010739
Juventus vs AS Roma,2025-12-20 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.28,codere_it,2,0.2902,0.05,2.24,4.1,2.23,codere_it:2.28; betsson:2.18,2-1,Acertado,0.000074,2,0.010060,0.010060
Olympiakos Piraeus vs AE Kifisia FC,2025-12-20 13:30:00,Super League,Goles (Over/Under),Over 3.5,2.09,betsson,2,0.4188,0.045,2.2,4.99,2.045,betsson:2.09; codere_it:2.0,1-1,Fallido,0.000084,2,0.010766,0.010766
1. FC Köln vs Union Berlin,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Under 2.5,1.92,pinnacle,3,0.5634,0.05,2.18,2.84,1.87,pinnacle:1.92; codere_it:1.87; betsson:1.82,0-1,Acertado,0.000099,3,0.011684,0.009624
Manchester City vs West Ham United,2025-12-20 10:00:00,EPL,Goles (Over/Under),Under 3.5,1.93,pinnacle,3,0.75,0.05,2.17,3.36,1.88,pinnacle:1.93; betsson:1.88; codere_it:1.83,3-0,Acertado,0.000097,3,0.011560,0.009521
Levante vs Real Sociedad,2025-12-20 10:15:00,La Liga,Goles (Over/Under),Over 2.5,1.94,pinnacle,3,1.0259,0.0467,2.17,3.09,1.8933,pinnacle:1.94; betsson:1.9; codere_it:1.84,1-1,Fallido,0.000096,3,0.011533,0.010039
Blackburn Rovers vs Millwall,2025-12-20 07:30:00,Championship,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.1839,0.045,2.17,6.69,2.075,betsson:2.12; codere_it:2.03,2-0,Fallido,0.000079,2,0.010456,0.010456
Newcastle United vs Chelsea,2025-12-20 07:30:00,EPL,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.4096,0.035,2.13,4.98,1.645,betsson:1.68; codere_it:1.61,2-2,Acertado,0.000127,2,0.012940,0.012940
Kilmarnock vs Falkirk F.C.,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,0.6531,0.0567,2.1,3.43,1.9933,pinnacle:2.05; betsson:1.98; codere_it:1.95,0-1,Fallido,0.000079,3,0.010454,0.009391
Newcastle Jets FC vs Sydney FC,2025-12-20 01:00:00,A-League,Goles (Over/Under),Under 3.5,1.86,pinnacle,3,0.9536,0.0533,2.09,3.02,1.8067,pinnacle:1.86; betsson:1.78; codere_it:1.78,2-0,Acertado,0.000095,3,0.011391,0.010739
Kilmarnock vs Falkirk F.C.,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.83,codere_it,3,-0.0438,0.0267,2.09,5.93,1.8033,codere_it:1.83; pinnacle:1.83; betsson:1.75,0-1,Acertado,0.000101,3,0.011776,0.011102
Newcastle Jets FC vs Sydney FC,2025-12-20 01:00:00,A-League,Goles (Over/Under),Over 3.5,2.03,pinnacle,3,0.9536,0.05,2.06,3.02,1.98,pinnacle:2.03; betsson:1.98; codere_it:1.93,2-0,Fallido,0.000078,3,0.010421,0.008580
Bristol City vs Middlesbrough,2025-12-20 10:00:00,Championship,Goles (Over/Under),Under 2.5,1.99,codere_it,3,-0.1013,0.0333,2.06,6.12,1.9567,codere_it:1.99; pinnacle:1.98; betsson:1.9,2-0,Acertado,0.000082,3,0.010673,0.010015
Avellino vs Palermo,2025-12-20 11:15:00,Serie B,Goles (Over/Under),Under 2.5,1.84,pinnacle,3,0.6884,0.0433,2.05,3.37,1.7967,pinnacle:1.84; codere_it:1.8; betsson:1.75,2-2,Fallido,0.000096,3,0.011446,0.009739
Leyton Orient vs Bradford City,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,1.94,codere_it,3,-0.0357,0.0367,2.03,5.89,1.9033,codere_it:1.94; pinnacle:1.92; betsson:1.85,2-1,Fallido,0.000084,3,0.010781,0.009952
Bristol City vs Middlesbrough,2025-12-20 10:00:00,Championship,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,0.4865,0.04,2.03,3.7,1.84,pinnacle:1.88; betsson:1.85; codere_it:1.79,2-0,Fallido,0.000090,3,0.011145,0.009970
Barnet vs Salford City,2025-12-20 10:00:00,League 2,Goles (Over/Under),Over 2.5,1.78,betsson,2,0.1722,0.035,2.01,6.68,1.745,betsson:1.78; codere_it:1.71,1-3,Acertado,0.000097,2,0.011499,0.011499
Wolverhampton Wanderers vs Brentford,2025-12-20 10:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,1.0459,0.05,1.98,2.83,1.8,pinnacle:1.85; betsson:1.78; codere_it:1.77,0-2,Acertado,0.000086,3,0.010847,0.010153
