event_id,match,league,starts_at,bookmaker,bookmaker_id,line,side,odds_american,odds_decimal,source
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,Bovada,bovada,3.5,over,-122,1.819672131147541,SportsGameOdds
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,BetPARX,betparx,3.5,over,-172,1.5813953488372094,SportsGameOdds
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,BetRivers,betrivers,3.5,over,-172,1.5813953488372094,SportsGameOdds
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,Bovada,bovada,3.5,under,+102,2.02,SportsGameOdds
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,BetPARX,betparx,3.5,under,+130,2.3,SportsGameOdds
TnDEBN4KhpVxXBhoFVM7,Bayern vs Wolfsburg,Bundesliga,2026-01-11T16:30:00.000Z,BetRivers,betrivers,3.5,under,+128,2.2800000000000002,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetPARX,betparx,1.5,over,-137,1.72992700729927,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetRivers,betrivers,1.5,over,-139,1.7194244604316546,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetMGM,betmgm,1.5,over,-147,1.6802721088435373,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetPARX,betparx,1.5,under,+107,2.0700000000000003,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetRivers,betrivers,1.5,under,+106,2.06,SportsGameOdds
ko876Ypza4e1bLwb7FbK,Getafe vs Real Sociedad,La Liga,2026-01-09T20:00:00.000Z,BetMGM,betmgm,1.5,under,+105,2.05,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,Bovada,bovada,2.5,over,+105,2.05,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetPARX,betparx,2.5,over,+112,2.12,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetRivers,betrivers,2.5,over,+110,2.1,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetMGM,betmgm,2.5,over,-102,1.9803921568627452,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,Bovada,bovada,2.5,under,-125,1.8,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetPARX,betparx,2.5,under,-143,1.6993006993006992,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetRivers,betrivers,2.5,under,-147,1.6802721088435373,SportsGameOdds
chfdqjQngyLDUupTZE5A,Real Oviedo vs Real Betis,La Liga,2026-01-10T13:00:00.000Z,BetMGM,betmgm,2.5,under,-137,1.72992700729927,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,Bovada,bovada,2.5,over,-105,1.9523809523809523,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetPARX,betparx,2.5,over,+104,2.04,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetRivers,betrivers,2.5,over,+102,2.02,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetMGM,betmgm,2.5,over,-111,1.900900900900901,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,Bovada,bovada,2.5,under,-115,1.8695652173913042,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetPARX,betparx,2.5,under,-135,1.7407407407407407,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetRivers,betrivers,2.5,under,-137,1.72992700729927,SportsGameOdds
OU4HEGtQ0htUT11lbK6W,Villarreal vs Alavés,La Liga,2026-01-10T15:15:00.000Z,BetMGM,betmgm,2.5,under,-125,1.8,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetPARX,betparx,2.5,over,+110,2.1,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetRivers,betrivers,2.5,over,+108,2.08,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetMGM,betmgm,2.5,over,+100,2.0,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetPARX,betparx,2.5,under,-141,1.7092198581560285,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetRivers,betrivers,2.5,under,-143,1.6993006993006992,SportsGameOdds
9Xge3OIdYDwpB3HzvE4u,Girona vs Osasuna,La Liga,2026-01-10T17:30:00.000Z,BetMGM,betmgm,2.5,under,-137,1.72992700729927,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetPARX,betparx,2.5,over,+135,2.35,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetRivers,betrivers,2.5,over,+133,2.33,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetMGM,betmgm,2.5,over,+125,2.25,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetPARX,betparx,2.5,under,-175,1.5714285714285714,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetRivers,betrivers,2.5,under,-179,1.558659217877095,SportsGameOdds
bkaB1enFc7X46UFotb8M,Valencia vs Elche,La Liga,2026-01-10T20:00:00.000Z,BetMGM,betmgm,2.5,under,-172,1.5813953488372094,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,Bovada,bovada,2.5,over,-118,1.847457627118644,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,BetRivers,betrivers,2.5,over,+140,2.4,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,BetMGM,betmgm,2.5,over,+130,2.3,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,Bovada,bovada,2.5,under,-102,1.9803921568627452,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,BetRivers,betrivers,2.5,under,-189,1.529100529100529,SportsGameOdds
nY9nv3hifLMmvYn6hWcS,Rayo Vallecano vs Mallorca,La Liga,2026-01-11T13:00:00.000Z,BetMGM,betmgm,2.5,under,-182,1.5494505494505495,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetPARX,betparx,2.5,over,+112,2.12,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetRivers,betrivers,2.5,over,+112,2.12,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,Bovada,bovada,2.5,over,+105,2.05,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetMGM,betmgm,2.5,over,-102,1.9803921568627452,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetPARX,betparx,2.5,under,-147,1.6802721088435373,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetRivers,betrivers,2.5,under,-147,1.6802721088435373,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,Bovada,bovada,2.5,under,-125,1.8,SportsGameOdds
TgBf5suhRlnZcEnh4Heq,Levante vs Espanyol,La Liga,2026-01-11T15:15:00.000Z,BetMGM,betmgm,2.5,under,-133,1.7518796992481203,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,Bovada,bovada,2.5,over,+105,2.05,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetPARX,betparx,2.5,over,+110,2.1,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetRivers,betrivers,2.5,over,+110,2.1,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetMGM,betmgm,2.5,over,-102,1.9803921568627452,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,Bovada,bovada,2.5,under,-125,1.8,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetPARX,betparx,2.5,under,-143,1.6993006993006992,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetRivers,betrivers,2.5,under,-143,1.6993006993006992,SportsGameOdds
Dkq41jo9QlRPBrOZC76a,Sevilla vs Celta,La Liga,2026-01-12T20:00:00.000Z,BetMGM,betmgm,2.5,under,-133,1.7518796992481203,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetPARX,betparx,2.5,over,+110,2.1,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetRivers,betrivers,2.5,over,+108,2.08,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetMGM,betmgm,2.5,over,+110,2.1,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetPARX,betparx,2.5,under,-141,1.7092198581560285,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetRivers,betrivers,2.5,under,-143,1.6993006993006992,SportsGameOdds
WmAxBbYySSLBUN2PGwQj,Pisa vs Como,Serie A,2026-01-06T14:00:00.000Z,BetMGM,betmgm,2.5,under,-154,1.6493506493506493,SportsGameOdds
7FDTQQ370cIsRauvSDXP,Lecce vs Roma,Serie A,2026-01-06T17:00:00.000Z,BetRivers,betrivers,2.5,over,+135,2.35,SportsGameOdds
7FDTQQ370cIsRauvSDXP,Lecce vs Roma,Serie A,2026-01-06T17:00:00.000Z,BetMGM,betmgm,2.5,over,+125,2.25,SportsGameOdds
7FDTQQ370cIsRauvSDXP,Lecce vs Roma,Serie A,2026-01-06T17:00:00.000Z,BetRivers,betrivers,2.5,under,-182,1.5494505494505495,SportsGameOdds
7FDTQQ370cIsRauvSDXP,Lecce vs Roma,Serie A,2026-01-06T17:00:00.000Z,BetMGM,betmgm,2.5,under,-175,1.5714285714285714,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,Bovada,bovada,2.5,over,-105,1.9523809523809523,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetPARX,betparx,2.5,over,-110,1.9090909090909092,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetRivers,betrivers,2.5,over,-111,1.900900900900901,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetMGM,betmgm,2.5,over,-111,1.900900900900901,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,Bovada,bovada,2.5,under,-115,1.8695652173913042,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetPARX,betparx,2.5,under,-118,1.847457627118644,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetRivers,betrivers,2.5,under,-119,1.8403361344537816,SportsGameOdds
UCWAsyAZpVBd91oApVzT,Sassuolo vs Juventus,Serie A,2026-01-06T19:45:00.000Z,BetMGM,betmgm,2.5,under,-125,1.8,SportsGameOdds
