Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto,Bookmaker
AC Ajaccio vs Caen,2025-01-17 14:00:00,Under 2.5,1.66,1.575,4.507734679148179e-05,10.0,0.0093127792184053,0.0085169452799888,0.0001349220014776,10.0,0.0158423051797392,0.0132567248248026,matchbook,10.0,0.085,0.0398,4.69,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:1.6600; betsson:1.6000; nordicbet:1.6000; onexbet:1.6000; playup:1.5800; williamhill:1.5700; tipico_de:1.5500; betrivers:1.5300; unibet:1.5300; unibet_eu:1.5300,2-1,3.0,No,
Amiens vs SC Bastia,2025-01-17 14:00:00,Under 2.5,1.64,1.559,3.6823123209239547e-05,10.0,0.008397580347292,0.0075539786621624,0.000125150216421,10.0,0.0151890510201191,0.0120720653625171,matchbook,10.0,0.081,0.0373,5.42,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:1.6400; playup:1.5800; betsson:1.5700; nordicbet:1.5700; onexbet:1.5700; williamhill:1.5700; tipico_de:1.5500; unibet:1.5200; betrivers:1.5100; unibet_eu:1.5100,1-0,1.0,Sí,
Guingamp vs Rodez AF,2025-01-17 14:00:00,Under 2.5,1.99,1.9157,2.3636101053171418e-05,14.0,0.0068734085066813,0.0056960980075551,5.430183892121551e-05,14.0,0.010411359103637,0.0089330257705297,pinnacle,14.0,0.0743,0.0385,7.39,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.9900; bovada:1.9800; williamhill:1.9500; tipico_de:1.9300; playup:1.9300; lowvig:1.9300; betonlineag:1.9300; nordicbet:1.9000; betsson:1.9000; coolbet:1.9000; betrivers:1.8700; unibet:1.8700; unibet_eu:1.8700; betus:1.8700,3-0,3.0,No,
Guingamp vs Rodez AF,2025-01-17 14:00:00,Over 2.5,1.88,1.8486,2.3636101053171418e-05,14.0,0.0068734085066812,0.0056960980075551,5.188396869879128e-05,14.0,0.0101336209342287,0.0070294994218409,pinnacle,14.0,0.0314,0.0336,6.67,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.8800; betus:1.8800; lowvig:1.8800; betonlineag:1.8800; coolbet:1.8700; unibet:1.8600; bovada:1.8500; betrivers:1.8500; unibet_eu:1.8500; williamhill:1.8500; nordicbet:1.8300; betsson:1.8300; playup:1.8200; tipico_de:1.7500,3-0,3.0,Sí,
Grenoble vs FC Martigues,2025-01-17 14:00:00,Over 2.5,1.87,1.7623,4.213561504406155e-05,13.0,0.0091569991720891,0.0078069368281254,0.0001649985869399,13.0,0.0180098640394674,0.0150716310675794,matchbook,13.0,0.1077,0.0567,3.48,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:1.8700; williamhill:1.8300; lowvig:1.8300; betonlineag:1.8300; coolbet:1.7600; betsson:1.7500; nordicbet:1.7500; playup:1.7500; onexbet:1.7400; tipico_de:1.7000; betrivers:1.7000; unibet:1.7000; unibet_eu:1.7000,3-0,3.0,Sí,
Grenoble vs FC Martigues,2025-01-17 14:00:00,Under 2.5,2.1,2.0285,4.213561504406155e-05,13.0,0.0091569991720891,0.0078069368281254,3.531265025951097e-05,13.0,0.0084015288592304,0.0073988883896164,matchbook,13.0,0.0715,0.035,6.44,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:2.1000; onexbet:2.0900; betrivers:2.0500; unibet:2.0500; unibet_eu:2.0500; coolbet:2.0300; betsson:2.0000; nordicbet:2.0000; tipico_de:2.0000; playup:2.0000; williamhill:2.0000; lowvig:2.0000; betonlineag:2.0000,3-0,3.0,No,
Amiens vs SC Bastia,2025-01-17 14:00:00,Over 2.5,2.52,2.367,3.6823123209239547e-05,10.0,0.008397580347292,0.0075539786621624,9.035468907856315e-05,10.0,0.01327369265692,0.0114423740510697,matchbook,10.0,0.153,0.0748,5.91,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:2.5200; onexbet:2.4000; betrivers:2.4000; unibet:2.4000; unibet_eu:2.4000; williamhill:2.4000; betsson:2.3000; nordicbet:2.3000; playup:2.3000; tipico_de:2.2500,1-0,1.0,No,
Amiens vs SC Bastia,2025-01-17 14:00:00,Over 2.0,1.8,1.775,6.148674931167063e-06,4.0,0.0034971229753797,0.0028028591261478,2.4760238761773106e-05,4.0,0.0069754609648935,0.0056233587326187,bovada,4.0,0.025,0.0218,4.34,Ligue 2,Goles (Over/Under),2025-01-17,bovada:1.8000; lowvig:1.7800; betonlineag:1.7800; coolbet:1.7400,1-0,1.0,No,
AC Ajaccio vs Caen,2025-01-17 14:00:00,Under 2.25,1.83,1.816,3.240506535678381e-05,5.0,0.0080426588479942,0.0061237198722038,8.57703505168176e-06,5.0,0.004119978921996,0.0038911907764367,pinnacle,5.0,0.014,0.0136,7.0,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.8300; betus:1.8300; bovada:1.8200; lowvig:1.8000; betonlineag:1.8000,2-1,3.0,No,
AC Ajaccio vs Caen,2025-01-17 14:00:00,Over 2.25,2.05,2.016,3.240506535678381e-05,5.0,0.0080426588479941,0.0061237198722037,9.615721942116422e-05,5.0,0.0138645523428471,0.0108621358879599,pinnacle,5.0,0.034,0.0543,4.34,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:2.0500; lowvig:2.0500; betonlineag:2.0500; bovada:2.0200; betus:1.9100,2-1,3.0,Sí,
Red Star vs Pau FC,2025-01-17 14:00:00,Over 2.5,1.9,1.7986,0.0001070725822671,14.0,0.0145990645909736,0.0117626317912611,0.0002697183329624,14.0,0.0230218306033823,0.0184909012696251,matchbook,14.0,0.1014,0.0727,4.45,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:1.9000; pinnacle:1.8800; betonlineag:1.8800; bovada:1.8500; williamhill:1.8500; coolbet:1.8200; lowvig:1.8100; nordicbet:1.8000; betsson:1.8000; playup:1.8000; tipico_de:1.7500; betrivers:1.6800; unibet:1.6800; unibet_eu:1.6800,1-1,2.0,No,
Red Star vs Pau FC,2025-01-17 14:00:00,Under 2.5,2.08,1.9943,0.0001070725822671,14.0,0.0145990645909736,0.0117626317912611,9.74615072434023e-05,14.0,0.0139593323589919,0.0126982358212292,matchbook,14.0,0.0857,0.0562,7.6,Ligue 2,Goles (Over/Under),2025-01-17,matchbook:2.0800; betrivers:2.0700; unibet:2.0700; unibet_eu:2.0700; lowvig:2.0400; pinnacle:1.9900; bovada:1.9800; coolbet:1.9600; nordicbet:1.9500; betsson:1.9500; playup:1.9500; williamhill:1.9500; tipico_de:1.9300; betonlineag:1.9300,1-1,2.0,Sí,
Amiens vs SC Bastia,2025-01-17 14:00:00,Under 2.25,1.79,1.785,2.6148925793326584e-05,2.0,0.0072149481723949,0.0072149481723949,1.2494331178028136e-06,2.0,0.0015692674659469,0.0015692674659469,pinnacle,2.0,0.005,0.005,6.37,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.7900; betus:1.7800,1-0,1.0,Sí,
Amiens vs SC Bastia,2025-01-17 14:00:00,Over 2.25,2.11,2.045,2.6148925793326584e-05,2.0,0.0072149481723949,0.0072149481723949,0.0001211201045575,2.0,0.0155584278807027,0.0155584278807027,pinnacle,2.0,0.065,0.065,3.57,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:2.1100; betus:1.9800,1-0,1.0,No,
Grenoble vs FC Martigues,2025-01-17 14:00:00,Over 2.75,1.98,1.9433,2.5107622726678653e-05,3.0,0.0070850717301922,0.0063553747444694,9.824837627914774e-05,3.0,0.0140048877240353,0.0132039347725621,pinnacle,3.0,0.0367,0.0519,4.56,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.9800; bovada:1.9800; betus:1.8700,3-0,3.0,Sí,
Amiens vs SC Bastia,2025-01-17 14:00:00,Under 2.0,2.08,2.0675,6.148674931167063e-06,4.0,0.0034971229753797,0.0028028591261479,4.63548578896015e-06,4.0,0.0030432523999607,0.0029258274285506,lowvig,4.0,0.0125,0.013,5.55,Ligue 2,Goles (Over/Under),2025-01-17,lowvig:2.0800; betonlineag:2.0800; coolbet:2.0600; bovada:2.0500,1-0,1.0,Sí,
Grenoble vs FC Martigues,2025-01-17 14:00:00,Under 2.75,1.89,1.87,2.5107622726678653e-05,3.0,0.0070850717301922,0.0063553747444693,1.0960184183660692e-05,3.0,0.0046704541506208,0.003826931931507,pinnacle,3.0,0.02,0.0163,6.39,Ligue 2,Goles (Over/Under),2025-01-17,pinnacle:1.8900; betus:1.8700; bovada:1.8500,3-0,3.0,No,
Sampdoria vs Cesena FC,2025-01-17 14:30:00,Over 2.0,1.85,1.815,3.721360082225333e-05,6.0,0.0086189358950448,0.0060085719051845,3.94760588878123e-05,6.0,0.0088312440804667,0.0066141405019618,pinnacle,6.0,0.035,0.0287,6.69,Serie B,Goles (Over/Under),2025-01-17,pinnacle:1.8500; betus:1.8400; bovada:1.8200; lowvig:1.8100; betonlineag:1.8100; coolbet:1.7600,1-2,3.0,Sí,
Sampdoria vs Cesena FC,2025-01-17 14:30:00,Under 2.5,1.62,1.5511,1.909924997032889e-05,9.0,0.0060385243158877,0.005516596030086,5.9358581224539286e-05,9.0,0.0104869180320799,0.0061313372938301,matchbook,9.0,0.0689,0.026,5.21,Serie B,Goles (Over/Under),2025-01-17,matchbook:1.6200; onexbet:1.5500; tipico_de:1.5500; nordicbet:1.5500; betsson:1.5500; williamhill:1.5500; betrivers:1.5300; unibet_eu:1.5300; unibet:1.5300,1-2,3.0,No,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Over 3.25,2.06,2.035,6.470554607519941e-07,4.0,0.0011358743309359,0.0010989450127877,6.478679993729376e-06,4.0,0.0035988492502859,0.0029950625269614,pinnacle,4.0,0.025,0.015,3.79,Bundesliga,Goles (Over/Under),2025-01-17,pinnacle:2.0600; lowvig:2.0300; betonlineag:2.0300; bovada:2.0200,2-0,2.0,No,
FC Cartagena vs Oviedo,2025-01-17 14:30:00,Under 2.0,2.06,1.9617,6.405099426397711e-05,6.0,0.011313170866314,0.0105854460561878,0.0001066645634423,6.0,0.0146016789765939,0.0133655383363104,pinnacle,6.0,0.0983,0.057,4.1,La Liga 2,Goles (Over/Under),2025-01-17,pinnacle:2.0600; bovada:2.0000; coolbet:1.9800; betus:1.9100; betonlineag:1.9100; lowvig:1.9100,0-1,1.0,Sí,
Sampdoria vs Cesena FC,2025-01-17 14:30:00,Under 2.0,2.05,2.0133,3.721360082225333e-05,6.0,0.0086189358950447,0.0060085719051844,8.83538806341435e-05,6.0,0.0132891977355589,0.0097623094482209,pinnacle,6.0,0.0367,0.0515,5.6,Serie B,Goles (Over/Under),2025-01-17,pinnacle:2.0500; lowvig:2.0400; betonlineag:2.0400; coolbet:2.0300; bovada:2.0200; betus:1.9000,1-2,3.0,No,
FC Cartagena vs Oviedo,2025-01-17 14:30:00,Under 2.5,1.6,1.5286,5.802980764234999e-05,7.0,0.0104896607688906,0.008967207939706,0.0001548353389774,7.0,0.0167520035520103,0.0138829450010628,williamhill,7.0,0.0714,0.0394,6.17,La Liga 2,Goles (Over/Under),2025-01-17,williamhill:1.6000; nordicbet:1.5500; betsson:1.5500; onexbet:1.5200; tipico_de:1.5200; unibet:1.4800; unibet_eu:1.4800,0-1,1.0,Sí,
FC Cartagena vs Oviedo,2025-01-17 14:30:00,Over 2.0,1.91,1.8533,6.405099426397711e-05,6.0,0.011313170866314,0.0105854460561878,7.35668925940684e-05,6.0,0.0120941612077491,0.0108543503991303,betonlineag,6.0,0.0567,0.0419,4.71,La Liga 2,Goles (Over/Under),2025-01-17,betonlineag:1.9100; lowvig:1.9100; pinnacle:1.8400; bovada:1.8300; betus:1.8300; coolbet:1.8000,0-1,1.0,No,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Under 3.25,1.85,1.8225,6.470554607519941e-07,4.0,0.0011358743309359,0.0010989450127877,1.208005079732947e-05,4.0,0.0048939723050622,0.0041001629399419,pinnacle,4.0,0.0275,0.0164,3.56,Bundesliga,Goles (Over/Under),2025-01-17,pinnacle:1.8500; bovada:1.8200; lowvig:1.8100; betonlineag:1.8100,2-0,2.0,Sí,
FC Cartagena vs Oviedo,2025-01-17 14:30:00,Over 2.5,2.48,2.3971,5.802980764234999e-05,7.0,0.0104896607688906,0.008967207939706,6.227448851328621e-05,7.0,0.0110092669652239,0.0085783665551856,unibet,7.0,0.0829,0.063,7.89,La Liga 2,Goles (Over/Under),2025-01-17,unibet:2.4800; unibet_eu:2.4800; nordicbet:2.4000; betsson:2.4000; williamhill:2.3800; tipico_de:2.3500; onexbet:2.2900,0-1,1.0,No,
Sampdoria vs Cesena FC,2025-01-17 14:30:00,Over 2.5,2.58,2.3756,1.909924997032889e-05,9.0,0.0060385243158877,0.005516596030086,0.0001285258689935,9.0,0.0157879640626313,0.0135072151774623,matchbook,9.0,0.2044,0.0925,4.12,Serie B,Goles (Over/Under),2025-01-17,matchbook:2.5800; onexbet:2.4500; williamhill:2.4500; nordicbet:2.3500; betsson:2.3500; tipico_de:2.3000; betrivers:2.3000; unibet_eu:2.3000; unibet:2.3000,1-2,3.0,Sí,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Over 3.0,1.78,1.76,2.0169549523673964e-05,2.0,0.0063237746026052,0.0063237746026052,2.12463403441044e-05,2.0,0.006457445434586,0.006457445434586,coolbet,2.0,0.02,0.02,4.03,Bundesliga,Goles (Over/Under),2025-01-17,coolbet:1.7800; betus:1.7400,2-0,2.0,No,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Under 3.5,1.71,1.6443,2.804964459221585e-05,7.0,0.007398077336468,0.0058283876574674,8.461964529829335e-05,7.0,0.0127064877797927,0.0094663064587876,onexbet,7.0,0.0657,0.0346,4.99,Bundesliga,Goles (Over/Under),2025-01-17,onexbet:1.7100; playup:1.6500; tipico_de:1.6500; betsson:1.6500; nordicbet:1.6500; unibet_eu:1.6000; betrivers:1.6000,2-0,2.0,Sí,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Over 3.5,2.32,2.2471,2.804964459221585e-05,7.0,0.0073980773364679,0.0058283876574674,5.58192677727363e-05,7.0,0.010508442418796,0.0083296310150534,onexbet,7.0,0.0729,0.0523,5.6,Bundesliga,Goles (Over/Under),2025-01-17,onexbet:2.3200; unibet_eu:2.2800; betrivers:2.2800; betsson:2.2500; nordicbet:2.2500; playup:2.2000; tipico_de:2.1500,2-0,2.0,No,
Eintracht Frankfurt vs Borussia Dortmund,2025-01-17 14:30:00,Under 3.0,2.15,2.12,2.0169549523673964e-05,2.0,0.0063237746026052,0.0063237746026052,2.2358896847638247e-05,2.0,0.0066763102258818,0.0066763102258818,betus,2.0,0.03,0.03,3.98,Bundesliga,Goles (Over/Under),2025-01-17,betus:2.1500; coolbet:2.0900,2-0,2.0,Sí,
Harrogate Town vs Cheltenham Town,2025-01-17 14:45:00,Over 2.25,1.91,1.854,5.856386489471158e-05,5.0,0.0108180443077585,0.0094836363636363,9.185245980187122e-05,5.0,0.01351290573377,0.0129237702664876,betonlineag,5.0,0.056,0.0467,4.71,League Two,Goles (Over/Under),2025-01-17,betonlineag:1.9100; lowvig:1.9100; betus:1.8300; pinnacle:1.8200; bovada:1.8000,5-1,6.0,Sí,
Harrogate Town vs Cheltenham Town,2025-01-17 14:45:00,Over 2.5,2.15,2.0145,3.3855468512121846e-05,11.0,0.0082036624942436,0.0060917147008492,0.0001147119268065,11.0,0.015139479227036,0.0118911975582201,williamhill,11.0,0.1355,0.0633,4.65,League Two,Goles (Over/Under),2025-01-17,williamhill:2.1500; matchbook:2.1200; onexbet:2.0400; coolbet:2.0200; nordicbet:2.0000; betsson:2.0000; playup:2.0000; tipico_de:1.9700; unibet:1.9600; unibet_eu:1.9500; betrivers:1.9500,5-1,6.0,Sí,
Harrogate Town vs Cheltenham Town,2025-01-17 14:45:00,Under 2.25,2.03,1.944,5.856386489471158e-05,5.0,0.0108180443077585,0.0094836363636363,6.864346165363637e-05,5.0,0.0117139688773257,0.0095690762868953,pinnacle,5.0,0.086,0.0454,4.82,League Two,Goles (Over/Under),2025-01-17,pinnacle:2.0300; bovada:1.9500; betus:1.9200; betonlineag:1.9100; lowvig:1.9100,5-1,6.0,No,
Harrogate Town vs Cheltenham Town,2025-01-17 14:45:00,Under 2.5,1.84,1.7636,3.3855468512121846e-05,11.0,0.0082036624942436,0.0060917147008492,4.837841984224767e-05,11.0,0.0097564915015629,0.0074719636544871,matchbook,11.0,0.0764,0.0308,5.63,League Two,Goles (Over/Under),2025-01-17,matchbook:1.8400; nordicbet:1.7800; betsson:1.7800; unibet_eu:1.7700; unibet:1.7700; betrivers:1.7700; onexbet:1.7500; playup:1.7500; coolbet:1.7400; williamhill:1.7300; tipico_de:1.7200,5-1,6.0,No,
Gent vs Charleroi,2025-01-17 14:45:00,Over 2.5,1.94,1.8733,4.532704588301407e-05,15.0,0.0095191104935723,0.0078370077384135,7.93055383376679e-05,15.0,0.0125556829124157,0.0103883741331391,matchbook,15.0,0.0667,0.0435,5.6,Pro League,Goles (Over/Under),2025-01-17,matchbook:1.9400; pinnacle:1.9200; betus:1.9200; betsson:1.9000; nordicbet:1.9000; onexbet:1.8900; lowvig:1.8900; betonlineag:1.8900; playup:1.8800; bovada:1.8700; tipico_de:1.8500; williamhill:1.8500; unibet:1.8000; unibet_eu:1.8000; betrivers:1.8000,2-0,2.0,No,
