Partido,Fecha_Hora_Colombia,Mercado,Mejor_Cuota,Cuota_Promedio_Mercado,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,Mejor_Casa,Num_Casas,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Liga,Tipo_Mercado,Snapshot_Date,Todas_Las_Cuotas,Score,Total_Goles,Acerto,Bookmaker
Nantes vs Brest,2025-02-07 13:00:00,Over 2.5,2.3,2.21,2.708510498975649e-05,11.0,0.0072891091990223,0.0059876680780635,6.9433432598704e-05,11.0,0.011729363680238,0.0112028717262815,matchbook,11.0,0.09,0.0574,4.45,Ligue 1,Goles (Over/Under),2025-02-07,matchbook:2.3000; onexbet:2.2800; unibet:2.2500; unibet_eu:2.2500; betrivers:2.2500; coolbet:2.2300; betsson:2.1500; williamhill:2.1500; playup:2.1500; nordicbet:2.1500; tipico_de:2.1500,0-2,2.0,No,
Nantes vs Brest,2025-02-07 13:00:00,Under 2.5,1.75,1.6809,2.708510498975649e-05,11.0,0.0072891091990224,0.0059876680780635,8.172748148773919e-05,11.0,0.0125605806764422,0.0105941824380022,matchbook,11.0,0.0691,0.0358,3.65,Ligue 1,Goles (Over/Under),2025-02-07,matchbook:1.7500; onexbet:1.7300; betsson:1.7000; nordicbet:1.7000; coolbet:1.6900; playup:1.6800; tipico_de:1.6700; williamhill:1.6500; unibet:1.6400; unibet_eu:1.6400; betrivers:1.6400,0-2,2.0,Sí,
SV Sandhausen vs Arminia Bielefeld,2025-02-07 13:00:00,Over 3.0,2.02,1.988,1.5202069011440274e-06,5.0,0.0017416005632566,0.0013697344195647,2.4075852480247816e-05,5.0,0.0069383078590177,0.0057155406262275,pinnacle,5.0,0.032,0.0271,6.0,3. Liga,Goles (Over/Under),2025-02-07,pinnacle:2.0200; betonlineag:2.0000; lowvig:2.0000; bovada:1.9800; coolbet:1.9400,1-0,1.0,No,
SV Sandhausen vs Arminia Bielefeld,2025-02-07 13:00:00,Under 2.5,2.3,2.205,3.017610929759389e-05,6.0,0.0076699112376691,0.0063233321887411,9.346282263111792e-05,6.0,0.0136150900517509,0.0118516109765767,tipico_de,6.0,0.095,0.0658,6.77,3. Liga,Goles (Over/Under),2025-02-07,tipico_de:2.3000; playup:2.2500; betsson:2.2200; nordicbet:2.2200; unibet_eu:2.1200; unibet:2.1200,1-0,1.0,Sí,
FC Martigues vs Troyes,2025-02-07 14:00:00,Over 2.5,2.12,2.0056,3.723500307625007e-05,16.0,0.0086177592770613,0.0065937170966398,8.553947816461054e-05,16.0,0.0130753451388947,0.0098287054988623,matchbook,16.0,0.1144,0.0522,5.31,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:2.1200; bovada:2.0500; lowvig:2.0500; betonlineag:2.0500; pinnacle:2.0300; betrivers:2.0200; unibet:2.0200; unibet_eu:2.0200; onexbet:2.0000; williamhill:2.0000; betsson:1.9900; nordicbet:1.9900; coolbet:1.9800; playup:1.9500; tipico_de:1.9300; betus:1.8900,1-2,3.0,Sí,
Grenoble vs Red Star,2025-02-07 14:00:00,Under 2.5,1.84,1.7893,2.2572669718188543e-05,15.0,0.0067106356721348,0.0045162704500408,7.228175786292684e-05,15.0,0.0119410822404898,0.0114036268439866,pinnacle,15.0,0.0507,0.0384,6.98,Ligue 2,Goles (Over/Under),2025-02-07,pinnacle:1.8400; betus:1.8400; matchbook:1.8400; lowvig:1.8300; betonlineag:1.8300; bovada:1.8200; coolbet:1.8000; betsson:1.7700; nordicbet:1.7700; tipico_de:1.7500; williamhill:1.7500; playup:1.7500; betrivers:1.7500; unibet_eu:1.7500; unibet:1.7500,2-0,2.0,Sí,
Stade Lavallois vs Annecy FC,2025-02-07 14:00:00,Under 2.25,2.0,1.936,1.5940137063863782e-05,5.0,0.0056454714099413,0.0047623698745973,6.251631529897426e-05,5.0,0.0111729428059832,0.0082876830575702,pinnacle,5.0,0.064,0.0418,3.48,Ligue 2,Goles (Over/Under),2025-02-07,pinnacle:2.0000; bovada:1.9500; lowvig:1.9300; betonlineag:1.9300; betus:1.8700,2-1,3.0,No,
Stade Lavallois vs Annecy FC,2025-02-07 14:00:00,Over 2.25,1.89,1.882,1.5940137063863782e-05,5.0,0.0056454714099413,0.0047623698745974,2.247256290186135e-06,5.0,0.0021157433173973,0.001806009315396,lowvig,5.0,0.008,0.0075,6.39,Ligue 2,Goles (Over/Under),2025-02-07,lowvig:1.8900; betonlineag:1.8900; pinnacle:1.8800; betus:1.8800; bovada:1.8700,2-1,3.0,Sí,
FC Martigues vs Troyes,2025-02-07 14:00:00,Under 2.5,1.85,1.785,3.723500307625007e-05,16.0,0.0086177592770613,0.0065937170966397,9.428212597403524e-05,16.0,0.0136250197895806,0.0116381337424198,pinnacle,16.0,0.065,0.0433,6.96,Ligue 2,Goles (Over/Under),2025-02-07,pinnacle:1.8500; betus:1.8500; matchbook:1.8500; onexbet:1.8100; bovada:1.8000; playup:1.8000; coolbet:1.8000; lowvig:1.8000; betonlineag:1.8000; betsson:1.7700; nordicbet:1.7700; tipico_de:1.7500; williamhill:1.7500; betrivers:1.7200; unibet:1.7200; unibet_eu:1.7200,1-2,3.0,No,
Grenoble vs Red Star,2025-02-07 14:00:00,Over 2.5,2.16,1.9967,2.2572669718188543e-05,15.0,0.0067106356721347,0.0045162704500408,8.537745203302883e-05,15.0,0.0130600879677235,0.0086764432578784,matchbook,15.0,0.1633,0.0539,3.44,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:2.1600; pinnacle:2.0400; bovada:2.0200; lowvig:2.0100; betonlineag:2.0100; williamhill:2.0000; playup:2.0000; betsson:1.9800; nordicbet:1.9800; unibet:1.9800; coolbet:1.9800; betrivers:1.9700; unibet_eu:1.9700; tipico_de:1.9500; betus:1.9000,2-0,2.0,No,
Paris FC vs Pau FC,2025-02-07 14:00:00,Under 2.75,1.85,1.826,4.484163368724959e-05,5.0,0.0094611301164105,0.0085150809903687,2.123533154746106e-05,5.0,0.0064856948463349,0.0062671367019193,bovada,5.0,0.024,0.0215,6.69,Ligue 2,Goles (Over/Under),2025-02-07,bovada:1.8500; pinnacle:1.8400; betus:1.8400; lowvig:1.8000; betonlineag:1.8000,3-1,4.0,No,
Paris FC vs Pau FC,2025-02-07 14:00:00,Over 2.75,2.05,2.004,4.484163368724959e-05,5.0,0.0094611301164104,0.0085150809903686,0.0001110616091814,5.0,0.0148995831015772,0.012998977161176,lowvig,5.0,0.046,0.0582,4.34,Ligue 2,Goles (Over/Under),2025-02-07,lowvig:2.0500; betonlineag:2.0500; pinnacle:2.0400; bovada:1.9800; betus:1.9000,3-1,4.0,Sí,
Paris FC vs Pau FC,2025-02-07 14:00:00,Under 2.5,2.1,2.012,4.360955289495624e-06,10.0,0.0029470067143933,0.0022524108059966,3.3674523219978834e-05,10.0,0.0082044933350617,0.0059451386362911,matchbook,10.0,0.088,0.034,5.76,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:2.1000; coolbet:2.0300; nordicbet:2.0200; betsson:2.0200; betrivers:2.0000; unibet:2.0000; unibet_eu:2.0000; williamhill:2.0000; playup:1.9800; tipico_de:1.9700,3-1,4.0,No,
Stade Lavallois vs Annecy FC,2025-02-07 14:00:00,Under 2.5,1.77,1.702,1.4533845590770908e-05,10.0,0.0053635612143391,0.0044075367837968,6.0911448641573694e-05,10.0,0.0108770029074915,0.0090387577857566,matchbook,10.0,0.068,0.0319,5.28,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:1.7700; williamhill:1.7300; onexbet:1.7200; playup:1.7200; betsson:1.7000; nordicbet:1.7000; tipico_de:1.6700; betrivers:1.6700; unibet_eu:1.6700; unibet:1.6700,2-1,3.0,No,
Rodez AF vs SC Bastia,2025-02-07 14:00:00,Over 2.5,2.04,1.9619,2.6273512611440868e-05,16.0,0.0072437904873114,0.0058893226233551,5.4470329691779565e-05,16.0,0.0104331109522134,0.0077081785884443,matchbook,16.0,0.0781,0.04,6.16,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:2.0400; pinnacle:2.0200; bovada:2.0000; williamhill:2.0000; coolbet:1.9800; onexbet:1.9700; betsson:1.9600; nordicbet:1.9600; unibet:1.9600; betrivers:1.9500; unibet_eu:1.9500; lowvig:1.9500; betonlineag:1.9500; playup:1.9200; tipico_de:1.9000; betus:1.8800,0-0,0.0,No,
Stade Lavallois vs Annecy FC,2025-02-07 14:00:00,Over 2.5,2.24,2.097,1.4533845590770908e-05,10.0,0.005363561214339,0.0044075367837968,6.746611413154656e-05,10.0,0.0115890722489005,0.0078254982477256,matchbook,10.0,0.143,0.0531,4.52,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:2.2400; onexbet:2.1200; betrivers:2.1000; unibet_eu:2.1000; unibet:2.1000; betsson:2.0800; nordicbet:2.0800; tipico_de:2.0500; williamhill:2.0500; playup:2.0500,2-1,3.0,Sí,
Paris FC vs Pau FC,2025-02-07 14:00:00,Over 2.5,1.87,1.757,4.360955289495624e-06,10.0,0.0029470067143933,0.0022524108059966,7.652032171539675e-05,10.0,0.0122889495754972,0.0080754184157726,matchbook,10.0,0.113,0.0398,4.24,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:1.8700; playup:1.7700; coolbet:1.7600; williamhill:1.7500; nordicbet:1.7400; betsson:1.7400; betrivers:1.7400; unibet:1.7400; unibet_eu:1.7400; tipico_de:1.7200,3-1,4.0,Sí,
Rodez AF vs SC Bastia,2025-02-07 14:00:00,Under 2.5,1.9,1.8175,2.6273512611440868e-05,16.0,0.0072437904873114,0.0058893226233551,8.510627032267105e-05,16.0,0.0129806480214867,0.0113327078101061,matchbook,16.0,0.0825,0.0431,5.82,Ligue 2,Goles (Over/Under),2025-02-07,matchbook:1.9000; lowvig:1.8700; betonlineag:1.8700; pinnacle:1.8600; betus:1.8600; onexbet:1.8300; bovada:1.8300; playup:1.8200; tipico_de:1.8000; coolbet:1.8000; betsson:1.7900; nordicbet:1.7900; betrivers:1.7700; unibet_eu:1.7700; unibet:1.7700; williamhill:1.7500,0-0,0.0,Sí,
Brescia vs Salernitana,2025-02-07 14:30:00,Over 2.25,1.94,1.904,2.1929972859678624e-06,5.0,0.0020942408376963,0.0016753926701571,2.072706558503149e-05,5.0,0.0064300096332347,0.0053128791536012,pinnacle,5.0,0.036,0.0233,5.02,Serie B,Goles (Over/Under),2025-02-07,pinnacle:1.9400; lowvig:1.9100; betonlineag:1.9100; bovada:1.8900; betus:1.8700,0-0,0.0,No,
Brescia vs Salernitana,2025-02-07 14:30:00,Over 2.5,2.24,2.117,4.947018745129739e-06,10.0,0.003125214105766,0.0027605447240326,5.859798854734121e-05,10.0,0.0107988128959839,0.0084247028062092,matchbook,10.0,0.123,0.0498,5.25,Serie B,Goles (Over/Under),2025-02-07,matchbook:2.2400; onexbet:2.1600; betsson:2.1300; nordicbet:2.1300; tipico_de:2.1000; coolbet:2.1000; williamhill:2.1000; betrivers:2.0700; unibet_eu:2.0700; unibet:2.0700,0-0,0.0,No,
Brescia vs Salernitana,2025-02-07 14:30:00,Under 2.5,1.77,1.681,4.947018745129739e-06,10.0,0.003125214105766,0.0027605447240326,6.940346575206033e-05,10.0,0.0116055877382905,0.0087741755277495,matchbook,10.0,0.089,0.0339,4.81,Serie B,Goles (Over/Under),2025-02-07,matchbook:1.7700; coolbet:1.7100; onexbet:1.6900; betsson:1.6700; nordicbet:1.6700; williamhill:1.6700; betrivers:1.6600; unibet_eu:1.6600; unibet:1.6600; tipico_de:1.6500,0-0,0.0,Sí,
Brescia vs Salernitana,2025-02-07 14:30:00,Under 2.25,1.94,1.912,2.1929972859678624e-06,5.0,0.0020942408376963,0.001675392670157,2.199182244292833e-05,5.0,0.0066231101203706,0.0050370925295067,pinnacle,5.0,0.028,0.024,5.02,Serie B,Goles (Over/Under),2025-02-07,pinnacle:1.9400; bovada:1.9300; lowvig:1.9100; betonlineag:1.9100; betus:1.8700,0-0,0.0,Sí,
Pogoń Szczecin vs Górnik Zabrze,2025-02-07 14:30:00,Under 2.5,2.14,2.005,8.981871944939116e-05,12.0,0.0133800106722463,0.0106122837040347,0.000132827901943,12.0,0.0162912960498162,0.012070678777772,matchbook,12.0,0.135,0.0651,5.55,Ekstraklasa,Goles (Over/Under),2025-02-07,matchbook:2.1400; betrivers:2.0500; unibet_eu:2.0500; unibet:2.0500; pinnacle:2.0200; coolbet:2.0100; tipico_de:2.0000; betsson:1.9900; nordicbet:1.9900; onexbet:1.9700; playup:1.9100; betus:1.8800,3-0,3.0,No,
Albacete vs Zaragoza,2025-02-07 14:30:00,Under 2.5,1.64,1.585,4.3648672398752935e-05,8.0,0.0091844376812053,0.0069657975967191,6.90505903574813e-05,8.0,0.0113517745598511,0.0099314791753321,matchbook,8.0,0.055,0.0287,6.43,La Liga 2,Goles (Over/Under),2025-02-07,matchbook:1.6400; onexbet:1.6000; unibet_eu:1.6000; unibet:1.6000; betsson:1.5700; nordicbet:1.5700; tipico_de:1.5500; williamhill:1.5500,2-1,3.0,No,
Bayern Munich vs Werder Bremen,2025-02-07 14:30:00,Under 4.0,1.93,1.9017,1.9404851312790603e-05,6.0,0.0062294965362276,0.0055088223500167,2.6197993947926328e-05,6.0,0.0072281045928413,0.006919413715487,betonlineag,6.0,0.0283,0.0261,4.72,Bundesliga,Goles (Over/Under),2025-02-07,betonlineag:1.9300; lowvig:1.9300; pinnacle:1.9200; bovada:1.8900; coolbet:1.8700; betus:1.8700,3-0,3.0,Sí,
Albacete vs Zaragoza,2025-02-07 14:30:00,Under 2.25,1.81,1.79,3.4995803291075645e-05,6.0,0.008353039740626,0.0061735525923273,9.761658741418386e-06,6.0,0.0043895138195204,0.0041384733171933,pinnacle,6.0,0.02,0.0141,7.06,La Liga 2,Goles (Over/Under),2025-02-07,pinnacle:1.8100; betus:1.8100; bovada:1.7800; lowvig:1.7800; betonlineag:1.7800; betanysports:1.7800,2-1,3.0,No,
Albacete vs Zaragoza,2025-02-07 14:30:00,Over 2.25,2.09,2.0567,3.4995803291075645e-05,6.0,0.0083530397406261,0.0061735525923273,9.97465391219834e-05,6.0,0.0141217529895935,0.0105070973628377,pinnacle,6.0,0.0333,0.0568,4.03,La Liga 2,Goles (Over/Under),2025-02-07,pinnacle:2.0900; bovada:2.0800; lowvig:2.0800; betonlineag:2.0800; betanysports:2.0800; betus:1.9300,2-1,3.0,Sí,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Under 2.25,1.99,1.99,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,lowvig,2.0,0.0,0.0,4.6,Austrian Bundesliga,Goles (Over/Under),2025-02-07,lowvig:1.9900; betonlineag:1.9900,2-2,4.0,No,
Bayern Munich vs Werder Bremen,2025-02-07 14:30:00,Over 3.5,1.69,1.6375,3.307611327616852e-06,4.0,0.0025332529578358,0.002003907411032,7.606726071903173e-05,4.0,0.0120449352926461,0.009605742004574,onexbet,4.0,0.0525,0.0327,2.65,Bundesliga,Goles (Over/Under),2025-02-07,onexbet:1.6900; betsson:1.6300; nordicbet:1.6300; playup:1.6000,3-0,3.0,No,
Bayern Munich vs Werder Bremen,2025-02-07 14:30:00,Over 4.0,1.99,1.925,1.9404851312790603e-05,6.0,0.0062294965362276,0.0055088223500167,4.720166328898347e-05,6.0,0.0097098428833431,0.008508176169042,pinnacle,6.0,0.065,0.0364,3.73,Bundesliga,Goles (Over/Under),2025-02-07,pinnacle:1.9900; betus:1.9500; bovada:1.9300; coolbet:1.9000; betonlineag:1.8900; lowvig:1.8900,3-0,3.0,No,
Pogoń Szczecin vs Górnik Zabrze,2025-02-07 14:30:00,Over 2.75,2.01,2.0067,1.7238722404936337e-07,3.0,0.0005865632296069,0.000553017116333,6.875571747478473e-07,3.0,0.0011726480616692,0.0011055831951354,lowvig,3.0,0.0033,0.0047,4.4,Ekstraklasa,Goles (Over/Under),2025-02-07,lowvig:2.0100; betonlineag:2.0100; bovada:2.0000,3-0,3.0,Sí,
Pogoń Szczecin vs Górnik Zabrze,2025-02-07 14:30:00,Over 2.5,1.85,1.7733,8.981871944939116e-05,12.0,0.0133800106722463,0.0106122837040346,0.0001872961815315,12.0,0.0191830394692734,0.0169901496180304,pinnacle,12.0,0.0767,0.0602,7.25,Ekstraklasa,Goles (Over/Under),2025-02-07,pinnacle:1.8500; betus:1.8500; matchbook:1.8500; playup:1.8300; onexbet:1.8000; coolbet:1.7800; betsson:1.7600; nordicbet:1.7600; betrivers:1.7000; unibet_eu:1.7000; unibet:1.7000; tipico_de:1.7000,3-0,3.0,Sí,
Bayern Munich vs Werder Bremen,2025-02-07 14:30:00,Under 3.5,2.36,2.315,3.307611327616852e-06,4.0,0.0025332529578358,0.002003907411032,1.1689385704149937e-05,4.0,0.0047864336981453,0.0041451731761237,onexbet,4.0,0.045,0.026,4.87,Bundesliga,Goles (Over/Under),2025-02-07,onexbet:2.3600; betsson:2.3000; nordicbet:2.3000; playup:2.3000,3-0,3.0,Sí,
Bayern Munich vs Werder Bremen,2025-02-07 14:30:00,Under 4.5,1.6,1.58,2.705549564337639e-05,3.0,0.0072444867196227,0.0068301675808815,1.7015901600301215e-05,3.0,0.0056298310604024,0.0053078556263269,tipico_de,3.0,0.02,0.0141,7.95,Bundesliga,Goles (Over/Under),2025-02-07,tipico_de:1.6000; betrivers:1.5700; unibet_eu:1.5700,3-0,3.0,Sí,
Sturm Graz vs Austria Wien,2025-02-07 14:30:00,Under 2.5,1.9,1.8,9.1504989295434e-05,14.0,0.0135127674255213,0.012107288020259,0.0001036525844155,14.0,0.0142965116593568,0.0114871584505617,coolbet,14.0,0.1,0.0461,6.11,Austrian Bundesliga,Goles (Over/Under),2025-02-07,coolbet:1.9000; matchbook:1.8400; pinnacle:1.8300; betus:1.8300; unibet_eu:1.8200; betrivers:1.8200; unibet:1.8200; onexbet:1.7900; betsson:1.7800; nordicbet:1.7800; tipico_de:1.7700; bovada:1.7700; playup:1.7500; williamhill:1.7000,2-2,4.0,No,
