side_mode,weekend_mode,top_n,min_bookies_fair,weeks,bets,profit_total,roi_per_bet,hit_rate,avg_odds,avg_bdi,profitable_weeks,nonnegative_weeks
higher,fri_sun,10,6,7,52,0.8299999999999996,0.015961538461538454,0.4807692307692308,2.1598076923076923,9.43550036035576e-05,3,3
higher,fri_sun,5,4,7,33,0.7899999999999994,0.02393939393939392,0.48484848484848486,2.15969696969697,0.00011031510539014716,3,3
higher,fri_sun,5,6,7,33,0.7899999999999994,0.02393939393939392,0.48484848484848486,2.15969696969697,0.00011031510539014716,3,3
lower,fri_sun,5,0,7,33,0.7700000000000011,0.02333333333333337,0.5757575757575758,1.7872727272727273,0.0001178449457452721,5,5
higher,fri_sun,8,4,7,46,0.7399999999999998,0.016086956521739127,0.4782608695652174,2.1650000000000005,9.830693440507614e-05,3,3
higher,fri_sun,8,6,7,46,0.7399999999999998,0.016086956521739127,0.4782608695652174,2.1650000000000005,9.830693440507614e-05,3,3
lower,sat_sun,7,8,7,32,0.6900000000000004,0.021562500000000012,0.5625,1.8021875,0.0001231816563129402,4,4
lower,sat_sun,5,0,7,28,0.6499999999999995,0.023214285714285694,0.5714285714285714,1.770714285714286,0.00012999390392671897,4,4
higher,sat_sun,5,4,7,27,0.589999999999999,0.021851851851851813,0.48148148148148145,2.1455555555555557,0.00012385023788186959,4,4
higher,sat_sun,5,6,7,27,0.589999999999999,0.021851851851851813,0.48148148148148145,2.1455555555555557,0.00012385023788186959,4,4
lower,sat_sun,10,8,7,41,0.5000000000000007,0.012195121951219528,0.5609756097560976,1.7995121951219513,0.00011062605161123436,4,4
lower,fri_sun,8,4,7,46,0.3800000000000008,0.008260869565217408,0.5652173913043478,1.7921739130434786,9.830693440507614e-05,5,5
lower,fri_sun,8,6,7,46,0.3800000000000008,0.008260869565217408,0.5652173913043478,1.7921739130434786,9.830693440507614e-05,5,5
higher,sat_sun,5,8,7,25,0.31999999999999895,0.012799999999999957,0.48,2.1248,0.00013259973608403027,3,3
lower,sat_sun,6,8,7,29,0.30000000000000027,0.010344827586206905,0.5517241379310345,1.8065517241379312,0.00012641400297300616,4,4
higher,fri_sun,7,8,7,40,0.2699999999999996,0.0067499999999999895,0.475,2.1590000000000003,0.00010633123500289693,2,2
lower,sat_sun,6,0,7,32,0.26999999999999913,0.008437499999999973,0.5625,1.768125,0.0001254480177610253,4,4
lower,sat_sun,7,4,7,34,0.22000000000000042,0.00647058823529413,0.5588235294117647,1.791470588235294,0.000116787530080112,3,3
lower,sat_sun,7,6,7,34,0.22000000000000042,0.00647058823529413,0.5588235294117647,1.791470588235294,0.000116787530080112,3,3
lower,fri_sun,8,8,7,43,0.20000000000000062,0.004651162790697689,0.5581395348837209,1.8034883720930235,0.00010431763148806828,5,5
lower,fri_sun,6,4,7,39,0.13000000000000078,0.0033333333333333535,0.5641025641025641,1.7866666666666668,0.0001027105830515266,4,4
lower,fri_sun,6,6,7,39,0.13000000000000078,0.0033333333333333535,0.5641025641025641,1.7866666666666668,0.0001027105830515266,4,4
lower,fri_sun,6,0,7,39,0.040000000000001146,0.001025641025641055,0.5641025641025641,1.771794871794872,0.00011072503670138543,5,5
lower,sat_sun,10,4,7,43,0.030000000000000027,0.0006976744186046518,0.5581395348837209,1.7911627906976746,0.00010615421248303095,3,3
lower,sat_sun,10,6,7,43,0.030000000000000027,0.0006976744186046518,0.5581395348837209,1.7911627906976746,0.00010615421248303095,3,3
lower,fri_sun,7,0,7,44,-0.03999999999999959,-0.0009090909090908998,0.5681818181818182,1.7627272727272727,0.00010487910204648393,4,4
lower,fri_sun,6,8,7,36,-0.0499999999999996,-0.0013888888888888779,0.5555555555555556,1.799722222222222,0.00011025699751008255,4,4
lower,sat_sun,6,4,7,31,-0.1699999999999997,-0.005483870967741926,0.5483870967741935,1.794516129032258,0.00011919255183635163,3,3
lower,sat_sun,6,6,7,31,-0.1699999999999997,-0.005483870967741926,0.5483870967741935,1.794516129032258,0.00011919255183635163,3,3
lower,sat_sun,7,0,7,36,-0.33999999999999897,-0.009444444444444415,0.5555555555555556,1.7641666666666667,0.00011955380161007378,3,3
lower,sat_sun,8,8,7,35,-0.4099999999999999,-0.011714285714285712,0.5428571428571428,1.8054285714285716,0.00011926347873957557,4,4
higher,fri_sun,7,4,7,43,-0.4600000000000004,-0.01069767441860466,0.46511627906976744,2.172558139534884,9.976070299447542e-05,2,2
higher,fri_sun,7,6,7,43,-0.4600000000000004,-0.01069767441860466,0.46511627906976744,2.172558139534884,9.976070299447542e-05,2,2
higher,fri_sun,5,8,7,32,-0.4800000000000004,-0.015000000000000013,0.46875,2.15625,0.00011306997582020465,3,3
lower,fri_sun,10,4,7,52,-0.5099999999999998,-0.009807692307692304,0.5576923076923077,1.7915384615384617,9.43550036035576e-05,4,4
lower,fri_sun,10,6,7,52,-0.5099999999999998,-0.009807692307692304,0.5576923076923077,1.7915384615384617,9.43550036035576e-05,4,4
lower,fri_sun,10,8,7,49,-0.6899999999999997,-0.014081632653061218,0.5510204081632653,1.8014285714285714,9.938774201506998e-05,4,4
lower,sat_sun,8,4,7,37,-0.8799999999999997,-0.023783783783783773,0.5405405405405406,1.7954054054054056,0.00011359958855661803,3,3
lower,sat_sun,8,6,7,37,-0.8799999999999997,-0.023783783783783773,0.5405405405405406,1.7954054054054056,0.00011359958855661803,3,3
lower,fri_sun,9,4,7,49,-0.9799999999999998,-0.019999999999999993,0.5510204081632653,1.7916326530612243,9.664196815489845e-05,4,4
lower,fri_sun,9,6,7,49,-0.9799999999999998,-0.019999999999999993,0.5510204081632653,1.7916326530612243,9.664196815489845e-05,4,4
lower,fri_sun,9,8,7,46,-1.1599999999999997,-0.02521739130434782,0.5434782608695652,1.8021739130434784,0.00010215207849877082,4,4
lower,sat_sun,10,0,7,46,-1.5299999999999991,-0.03326086956521737,0.5434782608695652,1.768913043478261,0.00010674823698945264,3,3
lower,sat_sun,9,8,7,38,-1.7699999999999994,-0.04657894736842103,0.5263157894736842,1.8028947368421053,0.00011488452166737539,3,3
lower,fri_sun,10,0,7,55,-2.0700000000000003,-0.03763636363636364,0.5454545454545454,1.7729090909090912,9.549541731144524e-05,3,3
lower,fri_sun,8,0,7,48,-2.139999999999999,-0.04458333333333331,0.5416666666666666,1.7672916666666667,0.00010124408694629158,4,4
lower,sat_sun,9,4,7,40,-2.239999999999999,-0.05599999999999997,0.525,1.79375,0.00010986437110174965,2,2
lower,sat_sun,9,6,7,40,-2.239999999999999,-0.05599999999999997,0.525,1.79375,0.00010986437110174965,2,2
lower,sat_sun,8,0,7,40,-2.4399999999999995,-0.060999999999999985,0.525,1.7695,0.00011372431353348398,3,3
lower,fri_sun,9,0,7,52,-2.5399999999999987,-0.048846153846153824,0.5384615384615384,1.7719230769230772,9.771623469874069e-05,3,3
lower,sat_sun,9,0,7,43,-3.7999999999999985,-0.08837209302325578,0.5116279069767442,1.7697674418604654,0.00011024099090266227,2,2
