rule,n,hit_rate,roi,hit_lift,roi_lift
diferencia_cuota_promedio <= 0.0133 AND Mercado == Over 2.5 AND Mejor_Casa == betsson,59,0.6271186440677966,0.11033898305084748,0.0794413824541047,0.178179814346691
score_final <= 0.1069 AND bdi_jsd_fair >= 0.0001,34,0.6176470588235294,0.10941176470588238,0.06996979720983754,0.1772525960017259
score_final <= 0.1069 AND bdi_jsd_fair >= 0.0001 AND market_family == totals,34,0.6176470588235294,0.10941176470588238,0.06996979720983754,0.1772525960017259
score_final <= 0.1069 AND bdi_jsd_fair >= 0.0001 AND Tipo_Mercado == Goles (Over/Under),34,0.6176470588235294,0.10941176470588238,0.06996979720983754,0.1772525960017259
volatilidad_pct >= 1.8700 AND confianza_calibrada <= 51.1500 AND Mercado == Under 2.5,65,0.5538461538461539,0.10907692307692307,0.0061688922324619755,0.1769177543727666
volatilidad_pct >= 1.8700 AND p_win_calibrada <= 0.5115 AND Mercado == Under 2.5,65,0.5538461538461539,0.10907692307692307,0.0061688922324619755,0.1769177543727666
diferencia_cuota_promedio >= 0.0416 AND Liga == Super League AND source_group == historico_maestro,36,0.5277777777777778,0.10833333333333332,-0.01989948383591411,0.17617416462917684
num_casas >= 4.0000 AND Mercado == X2 AND Mejor_Casa == betsson,36,0.5,0.1072222222222222,-0.0476772616136919,0.17506305351806573
num_casas <= 2.0000 AND edge_pct >= 2.3121 AND market_family == totals,33,0.5454545454545454,0.10424242424242425,-0.0022227161591464872,0.17208325553826778
num_casas <= 2.0000 AND edge_pct >= 2.3121 AND Tipo_Mercado == Goles (Over/Under),33,0.5454545454545454,0.10424242424242425,-0.0022227161591464872,0.17208325553826778
edge_pct >= 2.3121 AND Mercado == Under 2.5 AND source_group == historico_maestro,47,0.5531914893617021,0.1027659574468085,0.0055142277480102475,0.17060678874265203
confianza_calibrada <= 51.1500 AND edge_pct >= 2.3121 AND Mercado == X2,69,0.43478260869565216,0.10072463768115941,-0.11289465291803974,0.16856546897700295
p_win_calibrada <= 0.5115 AND edge_pct >= 2.3121 AND Mercado == X2,69,0.43478260869565216,0.10072463768115941,-0.11289465291803974,0.16856546897700295
volatilidad_pct <= 0.7800 AND market_family == double_chance AND Mejor_Casa == betsson,36,0.8055555555555556,0.10027777777777776,0.2578782939418637,0.1681186090736213
volatilidad_pct <= 0.7800 AND Tipo_Mercado == Doble Chance AND Mejor_Casa == betsson,36,0.8055555555555556,0.10027777777777776,0.2578782939418637,0.1681186090736213
margen_casa_pct >= 6.0800 AND edge_pct <= 0.8547 AND market_family == double_chance,45,0.8,0.09998000000000001,0.25232273838630814,0.16782083129584355
margen_casa_pct >= 6.0800 AND edge_pct <= 0.8547 AND Tipo_Mercado == Doble Chance,45,0.8,0.09998000000000001,0.25232273838630814,0.16782083129584355
diferencia_cuota_promedio >= 0.0416 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,69,0.5652173913043478,0.09927536231884057,0.01754012969065588,0.1671161936146841
diferencia_cuota_promedio >= 0.0416 AND volatilidad_pct >= 1.8700 AND num_casas <= 2.0000,54,0.5185185185185185,0.09925925925925928,-0.02915874309517341,0.16710009055510283
score_final >= 0.4409 AND num_casas >= 4.0000 AND Mercado == Under 2.5,33,0.5757575757575758,0.09909090909090908,0.0280803141438839,0.16693174038675263
volatilidad_pct >= 1.8700 AND Mercado == Under 2.5 AND source_group == historico_maestro,77,0.5584415584415584,0.09909090909090908,0.010764296827866504,0.16693174038675263
score_final <= 0.1069 AND Mercado == Over 2.5 AND Mejor_Casa == betsson,68,0.6029411764705882,0.09852941176470587,0.0552639148568963,0.1663702430605494
score_final >= 0.4409 AND edge_pct >= 2.3121 AND Mercado == Under 2.5,76,0.5657894736842105,0.0981578947368421,0.018112212070518607,0.16599872603268562
score_final <= 0.1069 AND volatilidad_pct >= 1.8700 AND edge_pct >= 2.3121,34,0.47058823529411764,0.0980794117647059,-0.07708902631957426,0.16592024306054942
num_casas <= 2.0000 AND Mercado == Under 2.5 AND Mejor_Casa == pinnacle,40,0.575,0.09800000000000002,0.027322738386308054,0.16584083129584354
score_final >= 0.4409 AND mejor_cuota <= 1.5100 AND Mercado == X2,38,0.8157894736842105,0.09720789473684209,0.2681122120705186,0.1650487260326856
margen_casa_pct >= 6.0800 AND market_family == totals AND source_group == analisis_mercados,35,0.5428571428571428,0.09599999999999999,-0.0048201187565490855,0.16384083129584354
margen_casa_pct >= 6.0800 AND Tipo_Mercado == Goles (Over/Under) AND source_group == analisis_mercados,35,0.5428571428571428,0.09599999999999999,-0.0048201187565490855,0.16384083129584354
score_final <= 0.1069 AND volatilidad_pct >= 1.8700 AND market_family == totals,39,0.5641025641025641,0.0946153846153846,0.016425302488872195,0.16245621591122814
score_final <= 0.1069 AND volatilidad_pct >= 1.8700 AND Tipo_Mercado == Goles (Over/Under),39,0.5641025641025641,0.0946153846153846,0.016425302488872195,0.16245621591122814
score_final <= 0.1069 AND num_casas >= 4.0000 AND market_family == totals,56,0.5892857142857143,0.0942857142857143,0.0416084526720224,0.16212654558155784
score_final <= 0.1069 AND num_casas >= 4.0000 AND Tipo_Mercado == Goles (Over/Under),56,0.5892857142857143,0.0942857142857143,0.0416084526720224,0.16212654558155784
num_casas >= 4.0000 AND confianza_calibrada <= 51.1500 AND edge_pct >= 2.3121,64,0.421875,0.09359374999999998,-0.1258022616136919,0.1614345812958435
num_casas >= 4.0000 AND p_win_calibrada <= 0.5115 AND edge_pct >= 2.3121,64,0.421875,0.09359374999999998,-0.1258022616136919,0.1614345812958435
volatilidad_pct >= 1.8700 AND confianza_calibrada <= 51.1500 AND market_family == totals,125,0.536,0.09143999999999997,-0.01167726161369187,0.1592808312958435
volatilidad_pct >= 1.8700 AND confianza_calibrada <= 51.1500 AND Tipo_Mercado == Goles (Over/Under),125,0.536,0.09143999999999997,-0.01167726161369187,0.1592808312958435
volatilidad_pct >= 1.8700 AND p_win_calibrada <= 0.5115 AND market_family == totals,125,0.536,0.09143999999999997,-0.01167726161369187,0.1592808312958435
volatilidad_pct >= 1.8700 AND p_win_calibrada <= 0.5115 AND Tipo_Mercado == Goles (Over/Under),125,0.536,0.09143999999999997,-0.01167726161369187,0.1592808312958435
diferencia_cuota_promedio >= 0.0416 AND Liga == La Liga 2,30,0.5666666666666667,0.09100000000000001,0.01898940505297475,0.15884083129584353
diferencia_cuota_promedio >= 0.0416 AND edge_pct >= 2.3121 AND Liga == La Liga 2,30,0.5666666666666667,0.09100000000000001,0.01898940505297475,0.15884083129584353
mejor_cuota <= 1.5100 AND margen_casa_pct <= 3.5600 AND Mejor_Casa == pinnacle,41,0.8048780487804879,0.09097560975609754,0.25720078716679595,0.1588164410519411
volatilidad_pct >= 1.8700 AND num_casas >= 4.0000 AND Mercado == X2,104,0.5288461538461539,0.09093942307692306,-0.018831107767538047,0.1587802543727666
num_casas >= 4.0000 AND edge_pct >= 2.3121 AND source_group == historico_maestro,138,0.5652173913043478,0.0905413043478261,0.01754012969065588,0.15838213564366965
volatilidad_pct >= 1.8700 AND num_casas <= 2.0000 AND Mercado == Under 2.5,47,0.5531914893617021,0.09021276595744682,0.0055142277480102475,0.15805359725329035
num_casas <= 2.0000 AND Mercado == Under 3.5,46,0.6521739130434783,0.09000000000000001,0.10449665142978637,0.15784083129584353
num_casas <= 2.0000 AND market_family == totals AND Mercado == Under 3.5,46,0.6521739130434783,0.09000000000000001,0.10449665142978637,0.15784083129584353
num_casas <= 2.0000 AND Mercado == Under 3.5 AND Tipo_Mercado == Goles (Over/Under),46,0.6521739130434783,0.09000000000000001,0.10449665142978637,0.15784083129584353
mejor_cuota <= 1.5100 AND Mercado == X2 AND Mejor_Casa == marathonbet,30,0.8333333333333334,0.08966666666666669,0.28565607171964147,0.15750749796251023
margen_casa_pct <= 3.5600 AND market_family == double_chance AND Mejor_Casa == pinnacle,79,0.7088607594936709,0.08860759493670885,0.161183497879979,0.1564484262325524
margen_casa_pct <= 3.5600 AND Tipo_Mercado == Doble Chance AND Mejor_Casa == pinnacle,79,0.7088607594936709,0.08860759493670885,0.161183497879979,0.1564484262325524
mejor_cuota >= 2.0200 AND num_casas >= 4.0000 AND Mejor_Casa == betsson,30,0.36666666666666664,0.08800000000000001,-0.18101059494702526,0.15584083129584353
Mercado == Over 2.5 AND Liga == Serie A,30,0.5,0.088,-0.0476772616136919,0.15584083129584353
market_family == totals AND Mercado == Over 2.5 AND Liga == Serie A,30,0.5,0.088,-0.0476772616136919,0.15584083129584353
Mercado == Over 2.5 AND Tipo_Mercado == Goles (Over/Under) AND Liga == Serie A,30,0.5,0.088,-0.0476772616136919,0.15584083129584353
score_final >= 0.4409 AND Mercado == X2 AND Mejor_Casa == pinnacle,91,0.6703296703296703,0.08791208791208792,0.12265240871597838,0.15575291920793144
mejor_cuota <= 1.5100 AND margen_casa_pct <= 3.5600 AND Mercado == X2,44,0.8181818181818182,0.08781590909090907,0.27050455656812633,0.1556567403867526
Mercado == Under 2.5 AND Liga == Super League,40,0.575,0.0865,0.027322738386308054,0.15434083129584353
market_family == totals AND Mercado == Under 2.5 AND Liga == Super League,40,0.575,0.0865,0.027322738386308054,0.15434083129584353
Mercado == Under 2.5 AND Tipo_Mercado == Goles (Over/Under) AND Liga == Super League,40,0.575,0.0865,0.027322738386308054,0.15434083129584353
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000 AND edge_pct >= 2.3121,32,0.53125,0.085625,-0.0164272616136919,0.15346583129584354
volatilidad_pct >= 1.8700 AND Mercado == Over 2.5 AND source_group == historico_maestro,57,0.543859649122807,0.08421052631578947,-0.0038176124908848585,0.15205135761163302
volatilidad_pct <= 0.7800 AND margen_casa_pct <= 3.5600 AND confianza_calibrada >= 60.0100,50,0.82,0.08379999999999999,0.27232273838630805,0.15164083129584352
volatilidad_pct <= 0.7800 AND margen_casa_pct <= 3.5600 AND p_win_calibrada >= 0.6001,50,0.82,0.08379999999999999,0.27232273838630805,0.15164083129584352
volatilidad_pct >= 1.8700 AND market_family == totals AND source_group == historico_maestro,147,0.54421768707483,0.08306122448979592,-0.0034595745388619203,0.15090205578563945
volatilidad_pct >= 1.8700 AND Tipo_Mercado == Goles (Over/Under) AND source_group == historico_maestro,147,0.54421768707483,0.08306122448979592,-0.0034595745388619203,0.15090205578563945
diferencia_cuota_promedio <= 0.0133 AND Liga == La Liga,30,0.7,0.08299999999999999,0.15232273838630805,0.15084083129584352
diferencia_cuota_promedio >= 0.0416 AND Mercado == Under 2.5 AND source_group == historico_maestro,56,0.5357142857142857,0.08285714285714284,-0.011962975899406203,0.15069797415298636
mejor_cuota >= 2.0200 AND margen_casa_pct >= 6.0800 AND num_casas >= 4.0000,50,0.46,0.08100000000000002,-0.08767726161369188,0.14884083129584355
mejor_cuota >= 2.0200 AND Mejor_Casa == marathonbet,31,0.41935483870967744,0.08096774193548387,-0.12832242290401447,0.1488085732313274
mejor_cuota >= 2.0200 AND market_family == double_chance AND Mejor_Casa == marathonbet,31,0.41935483870967744,0.08096774193548387,-0.12832242290401447,0.1488085732313274
mejor_cuota >= 2.0200 AND Tipo_Mercado == Doble Chance AND Mejor_Casa == marathonbet,31,0.41935483870967744,0.08096774193548387,-0.12832242290401447,0.1488085732313274
mejor_cuota >= 2.0200 AND Mejor_Casa == marathonbet AND source_group == historico_maestro,31,0.41935483870967744,0.08096774193548387,-0.12832242290401447,0.1488085732313274
score_final >= 0.4409 AND diferencia_cuota_promedio >= 0.0416 AND Mercado == Under 2.5,79,0.5569620253164557,0.08088607594936705,0.009284763702763765,0.1487269072452106
score_final >= 0.4409 AND Mercado == X2 AND source_group == historico_maestro,93,0.6666666666666666,0.08,0.11898940505297473,0.14784083129584352
mejor_cuota <= 1.5100 AND margen_casa_pct <= 3.5600 AND edge_pct >= 2.3121,39,0.8205128205128205,0.07985384615384614,0.2728355588991286,0.14769467744968967
diferencia_cuota_promedio >= 0.0416 AND num_casas <= 2.0000,55,0.509090909090909,0.0792727272727273,-0.03858635252278286,0.14711355856857083
mejor_cuota >= 2.0200 AND diferencia_cuota_promedio >= 0.0416 AND Mejor_Casa == betsson,59,0.423728813559322,0.07864406779661016,-0.12394844805436989,0.1464848990924537
mejor_cuota >= 2.0200 AND volatilidad_pct >= 1.8700 AND num_casas <= 2.0000,51,0.49019607843137253,0.07862745098039216,-0.05748118318231937,0.1464682822762357
score_final <= 0.1069 AND num_casas >= 4.0000 AND edge_pct >= 2.3121,39,0.46153846153846156,0.07806923076923078,-0.08613880007523034,0.14591006206507431
mejor_cuota <= 1.5100 AND diferencia_cuota_promedio <= 0.0133 AND margen_casa_pct <= 3.5600,48,0.8541666666666666,0.07770833333333332,0.30648940505297473,0.14554916462917686
volatilidad_pct >= 1.8700 AND edge_pct >= 2.3121 AND source_group == filtro2,36,0.5555555555555556,0.07666666666666663,0.007878293941863679,0.14450749796251017
diferencia_cuota_promedio <= 0.0133 AND margen_casa_pct >= 6.0800 AND market_family == double_chance,60,0.8166666666666667,0.07584666666666666,0.26898940505297475,0.14368749796251018
diferencia_cuota_promedio <= 0.0133 AND margen_casa_pct >= 6.0800 AND Tipo_Mercado == Doble Chance,60,0.8166666666666667,0.07584666666666666,0.26898940505297475,0.14368749796251018
mejor_cuota <= 1.5100 AND bdi_jsd >= 0.0001,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND num_casas >= 4.0000 AND bdi_jsd >= 0.0001,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND bdi_jsd >= 0.0001 AND edge_pct >= 2.3121,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND bdi_jsd >= 0.0001 AND market_family == double_chance,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND bdi_jsd >= 0.0001 AND Tipo_Mercado == Doble Chance,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND bdi_jsd >= 0.0001 AND source_group == analisis_mercados,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
mejor_cuota <= 1.5100 AND edge_pct >= 2.3121 AND source_group == analisis_mercados,31,0.8387096774193549,0.07554838709677418,0.29103241580566297,0.1433892183926177
edge_pct >= 2.3121 AND Liga == Super League AND source_group == historico_maestro,35,0.5428571428571428,0.07342857142857147,-0.0048201187565490855,0.14126940272441502
num_casas <= 2.0000 AND edge_pct >= 2.3121,34,0.5294117647058824,0.07176470588235292,-0.018265496907809542,0.13960553717819646
