rank_desc,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
29,15,7,0.4666666666666667,1.1400000000000006,0.07600000000000004,2.2766666666666664,4.138352911145575e-05,6.858666666666666,8
30,15,5,0.3333333333333333,-4.07,-0.27133333333333337,2.2246666666666663,4.0532827589382946e-05,6.312666666666667,10
31,15,7,0.4666666666666667,0.7000000000000006,0.04666666666666671,2.224666666666667,3.819070244053993e-05,6.528666666666666,8
32,15,5,0.3333333333333333,-4.37,-0.29133333333333333,2.158,3.718361830925477e-05,6.1626666666666665,10
33,15,4,0.26666666666666666,-6.02,-0.4013333333333333,2.23,3.610076487119221e-05,7.191999999999999,11
34,14,8,0.5714285714285714,3.4200000000000004,0.2442857142857143,2.2,3.686844531825095e-05,6.167142857142857,6
35,14,8,0.5714285714285714,2.87,0.20500000000000002,2.1149999999999998,3.540489539895384e-05,6.07923076923077,6
36,14,7,0.5,0.6499999999999999,0.04642857142857142,2.190714285714286,3.4653052798241434e-05,6.079285714285715,7
37,14,10,0.7142857142857143,7.4799999999999995,0.5342857142857143,2.150714285714286,3.3600842952654805e-05,6.284285714285715,4
38,13,4,0.3076923076923077,-3.7600000000000002,-0.28923076923076924,2.270769230769231,3.5033651271528164e-05,6.123846153846154,9
39,12,2,0.16666666666666666,-7.65,-0.6375000000000001,2.1525,3.687781090362993e-05,6.591666666666666,10
40,12,2,0.16666666666666666,-7.9,-0.6583333333333333,2.1716666666666664,3.582521781984045e-05,6.029166666666666,10
41,12,4,0.3333333333333333,-3.7300000000000004,-0.31083333333333335,2.09,3.511632627662507e-05,6.055,8
42,12,4,0.3333333333333333,-2.39,-0.1991666666666667,2.2608333333333333,3.4228741231145844e-05,6.16,8
43,12,5,0.4166666666666667,-0.98,-0.08166666666666667,2.1508333333333334,3.3420937595968335e-05,7.183333333333334,7
44,12,5,0.4166666666666667,-0.96,-0.08,2.1808333333333336,3.303890515063092e-05,6.723333333333334,7
45,12,7,0.5833333333333334,2.3299999999999996,0.19416666666666663,2.0725000000000002,3.16159049878929e-05,6.365833333333334,5
46,12,6,0.5,0.5700000000000003,0.04750000000000002,2.143333333333333,3.0839787269667305e-05,5.920000000000001,6
47,12,2,0.16666666666666666,-7.74,-0.645,2.155,3.02680791732258e-05,6.1433333333333335,10
48,12,7,0.5833333333333334,2.31,0.1925,2.0308333333333333,2.9591446605369028e-05,6.02,5
49,12,3,0.25,-5.720000000000001,-0.47666666666666674,2.1533333333333333,2.896685222485885e-05,6.349166666666666,9
50,12,6,0.5,1.83,0.1525,2.22,2.811682146145595e-05,6.655,6
51,12,3,0.25,-5.5600000000000005,-0.4633333333333334,2.1825,2.7388379865458607e-05,6.496363636363636,9
52,12,2,0.16666666666666666,-7.970000000000001,-0.6641666666666667,2.15,2.6561236198535525e-05,6.636666666666667,10
53,12,8,0.6666666666666666,6.19,0.5158333333333334,2.275,2.5977057106078772e-05,5.821666666666666,4
54,12,7,0.5833333333333334,3.4000000000000004,0.2833333333333334,2.1308333333333334,2.539735523294203e-05,6.1000000000000005,5
55,12,4,0.3333333333333333,-3.55,-0.29583333333333334,2.2158333333333333,2.4962176596833666e-05,6.216666666666666,8
56,12,8,0.6666666666666666,5.0600000000000005,0.4216666666666667,2.2258333333333336,2.4366897778035467e-05,6.413333333333334,4
57,12,4,0.3333333333333333,-3.25,-0.2708333333333333,2.2358333333333333,2.3984802738710064e-05,7.129166666666666,8
58,12,7,0.5833333333333334,3.0600000000000005,0.25500000000000006,2.151666666666667,2.355274903833585e-05,5.748333333333334,5
59,12,6,0.5,2.41,0.20083333333333334,2.263333333333333,2.3138663454782402e-05,6.326666666666667,6
60,12,5,0.4166666666666667,-0.4299999999999997,-0.03583333333333331,2.2216666666666667,2.2616834422475385e-05,5.736666666666667,7
