strategy,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,over_share,top_n
top_112,1358,586,772,0.43151693667157587,-66.25,-0.04878497790868925,2.2257216494845364,7.681085429085025e-05,0.5677466863033873,112
top_113,1365,589,776,0.4315018315018315,-67.12,-0.04917216117216117,2.224849816849817,7.647416226149615e-05,0.5684981684981685,113
top_114,1372,590,782,0.43002915451895046,-71.91999999999999,-0.05241982507288629,2.22432944606414,7.613876984745912e-05,0.5699708454810496,114
top_115,1379,595,784,0.43147208121827413,-67.81,-0.049173313995649025,2.2240609137055833,7.580568887643013e-05,0.5699782451051486,115
top_116,1386,599,787,0.43217893217893216,-65.72999999999999,-0.04742424242424242,2.224090909090909,7.547377569269173e-05,0.5678210678210678,116
top_117,1393,601,792,0.4314429289303661,-68.72,-0.04933237616654702,2.2243718592964825,7.51441126041244e-05,0.5649676956209619,117
top_118,1400,604,796,0.43142857142857144,-69.52,-0.04965714285714285,2.224,7.481653322788124e-05,0.5628571428571428,118
top_119,1407,608,799,0.43212508884150674,-68.07,-0.04837953091684435,2.223518123667377,7.449136830847317e-05,0.5621890547263682,119
top_120,1414,610,804,0.4314002828854314,-70.57999999999998,-0.04991513437057991,2.2247029702970296,7.416819386946661e-05,0.5622347949080623,120
top_121,1421,613,808,0.4313863476425053,-71.13999999999999,-0.050063335679099215,2.224517945109078,7.384657918100949e-05,0.5629838142153413,121
top_122,1428,616,812,0.43137254901960786,-71.44999999999999,-0.05003501400560223,2.2240266106442577,7.352681986164269e-05,0.5623249299719888,122
top_123,1435,619,816,0.4313588850174216,-72.41,-0.05045993031358885,2.2235888501742163,7.320967230663344e-05,0.5637630662020906,123
top_124,1442,621,821,0.4306518723994452,-75.28999999999999,-0.052212205270457696,2.2235714285714283,7.289487944061153e-05,0.5631067961165048,124
top_125,1448,626,822,0.43232044198895025,-69.77,-0.04818370165745856,2.2238259668508285,7.26322899251399e-05,0.5628453038674033,125
top_126,1454,627,827,0.4312242090784044,-73.66999999999999,-0.05066712517193947,2.2235144429160933,7.237065844083342e-05,0.5646492434662999,126
top_127,1460,630,830,0.4315068493150685,-73.50999999999999,-0.05034931506849315,2.222972602739726,7.21104644740465e-05,0.5657534246575342,127
top_128,1466,633,833,0.43178717598908595,-72.61,-0.04952933151432469,2.2230422919508865,7.185149452885115e-05,0.5661664392905866,128
top_129,1472,637,835,0.4327445652173913,-70.10999999999999,-0.04762907608695651,2.2225747282608697,7.159361488582889e-05,0.5658967391304348,129
top_130,1478,640,838,0.4330175913396482,-70.06,-0.047401894451962114,2.2218403247631935,7.13363280321661e-05,0.5656292286874154,130
top_131,1484,642,842,0.4326145552560647,-72.03999999999999,-0.04854447439353099,2.222102425876011,7.108039942155005e-05,0.5646900269541779,131
top_132,1490,648,842,0.4348993288590604,-65.79,-0.04415436241610739,2.2213758389261744,7.082530179845865e-05,0.5644295302013422,132
top_133,1496,649,847,0.4338235294117647,-69.58999999999999,-0.04651737967914438,2.2210828877005344,7.057149260489794e-05,0.5635026737967914,133
top_134,1502,653,849,0.4347536617842876,-66.74,-0.0444340878828229,2.2212583222370172,7.031886901477648e-05,0.5625832223701731,134
top_135,1508,654,854,0.4336870026525199,-70.55999999999999,-0.04679045092838195,2.221226790450928,7.006687121735403e-05,0.5616710875331565,135
top_136,1514,656,858,0.4332892998678996,-72.58999999999999,-0.047945838837516505,2.2208652575957726,6.981579256572412e-05,0.5614266842800528,136
top_137,1520,659,861,0.43355263157894736,-72.46999999999998,-0.04767763157894736,2.2205855263157894,6.956597509973558e-05,0.5618421052631579,137
top_138,1526,662,864,0.4338138925294889,-72.32999999999998,-0.04739842726081257,2.2203800786369596,6.931751999939359e-05,0.5609436435124509,138
top_139,1532,663,869,0.43276762402088775,-76.4,-0.04986945169712794,2.220110966057441,6.907032527425198e-05,0.5607049608355091,139
top_140,1538,664,874,0.4317295188556567,-80.44,-0.052301690507152145,2.2197139141742523,6.882447897788827e-05,0.5604681404421327,140
top_141,1544,667,877,0.4319948186528497,-80.02000000000001,-0.05182642487046633,2.219520725388601,6.85793391175968e-05,0.5602331606217616,141
top_142,1550,671,879,0.43290322580645163,-77.05,-0.049709677419354836,2.219225806451613,6.833437301960425e-05,0.5593548387096774,142
top_143,1556,673,883,0.43251928020565555,-78.18,-0.05024421593830335,2.2191902313624676,6.809031059803504e-05,0.5584832904884319,143
top_144,1562,675,887,0.4321382842509603,-79.80000000000001,-0.05108834827144687,2.2196606914212547,6.784594574276254e-05,0.558258642765685,144
top_145,1568,676,892,0.43112244897959184,-83.52,-0.05326530612244898,2.2201147959183674,6.760271057616545e-05,0.5586734693877551,145
top_146,1573,678,895,0.43102352193261284,-83.75999999999999,-0.05324856961220597,2.2201271455816913,6.740303721334325e-05,0.5581691036236491,146
top_147,1578,683,895,0.4328263624841572,-76.94,-0.048757921419518374,2.2205830164765525,6.720368822597194e-05,0.5576679340937896,147
top_148,1582,685,897,0.4329962073324905,-76.69,-0.048476611883691526,2.220309734513274,6.704683459247546e-05,0.5575221238938053,148
top_149,1586,687,899,0.43316519546027743,-76.59,-0.04829129886506936,2.2200693568726355,6.689004760938972e-05,0.5573770491803278,149
top_150,1590,689,901,0.43333333333333335,-75.81,-0.04767924528301887,2.2201635220125784,6.673335986565001e-05,0.5572327044025157,150
top_151,1594,689,905,0.43224592220828106,-79.81,-0.05006900878293601,2.21965495608532,6.657683473538668e-05,0.5570890840652447,151
