top_n,Liga,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
8,Ekstraklasa,3,1,0.3333333333333333,-0.8799999999999999,-0.2933333333333333,2.1533333333333338,0.0001254385392704347,7.44,2
8,League One,7,3,0.42857142857142855,-0.5699999999999998,-0.0814285714285714,2.294285714285714,0.0001313911171431405,7.721428571428571,4
8,Liga Portugal,12,5,0.4166666666666667,-0.06000000000000005,-0.0050000000000000044,2.4391666666666665,0.0001370875173480354,6.806363636363637,7
8,Austrian Bundesliga,2,1,0.5,0.5,0.25,2.34,9.264672625347227e-05,7.08,1
8,A-League,1,1,1.0,1.25,1.25,2.25,0.0002150713212818,8.14,0
8,3. Liga,3,2,0.6666666666666666,1.3499999999999996,0.4499999999999999,2.25,0.00036566666666666665,6.026666666666666,1
8,Ligue 2,5,3,0.6,1.48,0.296,2.288,0.00013256241394039365,6.468000000000001,2
8,Liga Profesional,1,1,1.0,1.85,1.85,2.85,0.0001160582854294,6.52,0
8,Primeira Liga,2,2,1.0,2.61,1.305,2.3049999999999997,0.00019,8.965,0
8,Super League Greece,2,2,1.0,2.68,1.34,2.34,0.0001365948387073,8.75,0
8,Bundesliga 2,3,3,1.0,3.68,1.2266666666666668,2.2266666666666666,0.00014014054279986668,6.859999999999999,0
8,League Two,20,11,0.55,4.630000000000001,0.23150000000000004,2.2485,0.00012508936105348062,7.337999999999999,9
9,Super League Switzerland,6,1,0.16666666666666666,-3.57,-0.595,2.2133333333333334,0.00013665287000552175,7.041666666666667,5
9,La Liga 2,7,2,0.2857142857142857,-2.3,-0.32857142857142857,2.4371428571428573,0.00010977770698859595,7.191428571428572,5
9,K League 1,2,0,0.0,-2.0,-1.0,2.3499999999999996,0.0001761240764016,7.51,2
9,Ligue 1,2,0,0.0,-2.0,-1.0,2.1100000000000003,0.00034490070101765,3.76,2
9,Scottish Premiership,2,0,0.0,-2.0,-1.0,2.135,0.0001275918845175271,6.595,2
9,Liga MX,6,2,0.3333333333333333,-1.9000000000000004,-0.3166666666666667,2.1533333333333333,0.00015423983792378334,7.603333333333334,4
9,Süper Lig,4,1,0.25,-1.9,-0.475,2.15,0.00011085504853471128,7.0024999999999995,3
9,Ekstraklasa,4,1,0.25,-1.88,-0.47,2.2025,0.00012236739864715103,7.5575,3
9,Eredivisie,4,1,0.25,-1.7999999999999998,-0.44999999999999996,8.6125,0.0118750584795319,5.47,3
9,MLS,6,2,0.3333333333333333,-1.54,-0.25666666666666665,2.1983333333333333,0.00010532072664821382,5.79,4
9,Primera División Chile,3,1,0.3333333333333333,-1.02,-0.34,2.12,0.00015002965179120002,7.476666666666667,2
9,Championship,1,0,0.0,-1.0,-1.0,2.06,9.358794225876854e-05,6.35,1
9,La Liga,1,0,0.0,-1.0,-1.0,2.26,7.428953053771972e-05,4.85,1
9,Pro League,1,0,0.0,-1.0,-1.0,2.25,0.0001079371434218,6.56,1
9,Serie A,1,0,0.0,-1.0,-1.0,2.3,0.0004181775590927,1.62,1
9,Superliga Denmark,1,0,0.0,-1.0,-1.0,2.29,0.000110880187144,7.36,1
9,Premiership,5,2,0.4,-0.9700000000000002,-0.19400000000000003,2.064,9.408700482834513e-05,6.452,3
9,J1 League,3,1,0.3333333333333333,-0.1499999999999999,-0.04999999999999997,2.5433333333333334,0.00011434283376715385,6.283333333333334,2
9,Liga Portugal,14,6,0.42857142857142855,0.14000000000000012,0.010000000000000009,2.4121428571428574,0.00012764927279706816,6.7441666666666675,8
9,League One,8,4,0.5,0.40000000000000013,0.05000000000000002,2.25375,0.00012826596844663543,7.546250000000001,4
9,Austrian Bundesliga,2,1,0.5,0.5,0.25,2.34,9.264672625347227e-05,7.08,1
9,A-League,1,1,1.0,1.25,1.25,2.25,0.0002150713212818,8.14,0
9,3. Liga,3,2,0.6666666666666666,1.3499999999999996,0.4499999999999999,2.25,0.00036566666666666665,6.026666666666666,1
9,Ligue 2,5,3,0.6,1.48,0.296,2.288,0.00013256241394039365,6.468000000000001,2
9,Liga Profesional,1,1,1.0,1.85,1.85,2.85,0.0001160582854294,6.52,0
9,Serie B,13,7,0.5384615384615384,2.2199999999999998,0.17076923076923076,2.2084615384615387,0.00013399664098756643,8.073846153846155,6
9,Primeira Liga,2,2,1.0,2.61,1.305,2.3049999999999997,0.00019,8.965,0
9,Super League Greece,2,2,1.0,2.68,1.34,2.34,0.0001365948387073,8.75,0
9,Bundesliga 2,4,3,0.75,2.68,0.67,2.245,0.0001288554070999,6.640000000000001,1
9,League Two,21,11,0.5238095238095238,3.6300000000000003,0.17285714285714288,2.2414285714285715,0.00012377174668374953,7.362857142857143,10
