Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,_source_file,_loaded_at,Resultado,Resultado_Cumplido,Confianza,Marcador,Estado_Partido,Fuente_Web,Actualizado_Web_UTC,Estrategia,Prioridad
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Doble Chance,X2,1.42,pinnacle,4,0.4419,0.0325,1.72,3.96,1.3875,pinnacle:1.42; betsson:1.4; codere_it:1.37; marathonbet:1.36,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,53.22,2-0,,,,,
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.8163,0.0367,1.45,3.81,1.8133,pinnacle:1.85; betsson:1.8; codere_it:1.79,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,52.83,0-1,,,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,X2,2.22,pinnacle,4,0.4496,0.0475,1.82,4.27,2.1725,pinnacle:2.22; codere_it:2.2; marathonbet:2.15; betsson:2.12,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,52.77,0-0,,,,,
Strasbourg vs Lorient,2025-12-14 11:15:00,Ligue 1,Doble Chance,X2,2.18,marathonbet,4,0.3758,0.05,1.72,3.06,2.13,marathonbet:2.18; pinnacle:2.15; codere_it:2.1; betsson:2.09,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,52.72,0-0,,,,,
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Doble Chance,X2,2.12,pinnacle,4,0.5105,0.0975,2.93,4.29,2.0225,pinnacle:2.12; marathonbet:2.01; codere_it:2.0; betsson:1.96,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,52.49,2-0,,,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Goles (Over/Under),Over 2.5,2.03,betsson,2,0.4419,0.04,2.01,4.82,1.99,betsson:2.03; codere_it:1.95,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,52.38,0-0,,,,,
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Goles (Over/Under),Under 2.5,1.62,betsson,2,0.0498,0.005,0.31,8.24,1.615,betsson:1.62; codere_it:1.61,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,52.38,1-2,,,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Goles (Over/Under),Over 2.5,1.73,betsson,2,0.4205,0.03,1.76,4.97,1.7,betsson:1.73; codere_it:1.67,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,52.32,2-1,,,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Doble Chance,X2,1.54,pinnacle,3,0.4981,0.0467,2.28,5.3,1.4933,pinnacle:1.54; betsson:1.48; codere_it:1.46,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,52.2,3-1,,,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.0934,0.01,0.6,7.6,1.67,betsson:1.68; codere_it:1.66,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,52.1,4-2,,,,,
