Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,_source_file,_loaded_at,Resultado,Resultado_Cumplido,Confianza,Marcador,Estado_Partido,Fuente_Web,Actualizado_Web_UTC,Estrategia,Prioridad
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Goles (Over/Under),Under 2.5,2.22,betsson,2,0.1925,0.04,1.83,6.39,2.18,betsson:2.22; codere_it:2.14,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,30.57,3-3,,,,,
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.22,pinnacle,4,0.6496,0.03,1.78,3.91,1.19,pinnacle:1.22; codere_it:1.2; betsson:1.17; marathonbet:1.17,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,30.22,1-0,,,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,1X,1.38,pinnacle,4,0.625,0.035,1.7,3.92,1.345,pinnacle:1.38; codere_it:1.35; marathonbet:1.33; betsson:1.32,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,29.73,4-2,,,,,
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Doble Chance,1X,1.52,pinnacle,4,0.6184,0.0325,1.46,4.77,1.4875,pinnacle:1.52; marathonbet:1.49; betsson:1.48; codere_it:1.46,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,29.59,1-1,,,,,
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Doble Chance,1X,1.13,pinnacle,4,0.5172,0.015,1.0,4.93,1.115,pinnacle:1.13; betsson:1.12; marathonbet:1.11; codere_it:1.1,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,29.57,0-1,,,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Goles (Over/Under),Under 2.5,2.12,codere_it,2,0.1352,0.035,1.68,5.99,2.085,codere_it:2.12; betsson:2.05,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,29.55,1-2,,,,,
BSC Young Boys vs FC Luzern,2025-12-14 08:00:00,Swiss Superleague,Doble Chance,1X,1.25,pinnacle,4,0.5105,0.0175,1.05,4.29,1.2325,pinnacle:1.25; codere_it:1.24; marathonbet:1.22; betsson:1.22,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,29.5,2-0,,,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Goles (Over/Under),Under 2.5,2.02,betsson,2,0.1774,0.04,2.02,6.65,1.98,betsson:2.02; codere_it:1.94,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,29.48,1-2,,,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Goles (Over/Under),Over 2.5,1.7,betsson,2,-0.1053,0.0,0.0,7.6,1.7,betsson:1.7; codere_it:1.7,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,29.47,1-2,,,,,
Racing Club vs Estudiantes,2025-12-13 19:00:00,Primera División,Doble Chance,1X,1.44,pinnacle,3,0.5888,0.0233,1.85,3.21,1.4167,pinnacle:1.44; betsson:1.43; marathonbet:1.38,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,29.3,1-1,,,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Goles (Over/Under),Under 2.5,2.16,codere_it,2,0.0307,0.025,1.17,6.18,2.135,codere_it:2.16; betsson:2.11,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,28.9,1-0,,,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Doble Chance,1X,1.39,pinnacle,4,0.4539,0.0225,1.31,2.71,1.3675,pinnacle:1.39; marathonbet:1.38; codere_it:1.35; betsson:1.35,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,28.63,0-1,,,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Doble Chance,1X,1.26,betsson,4,-0.1422,0.0075,0.35,4.64,1.2525,betsson:1.26; pinnacle:1.25; codere_it:1.25; marathonbet:1.25,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,28.62,4-0,,,,,
NAC Breda vs FC Utrecht,2025-12-14 10:45:00,Eredivisie,Doble Chance,1X,1.53,pinnacle,4,0.4425,0.0175,0.98,3.91,1.5125,pinnacle:1.53; betsson:1.52; codere_it:1.51; marathonbet:1.49,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,28.59,1-1,,,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.16,pinnacle,4,0.5443,0.02,1.39,4.06,1.14,pinnacle:1.16; codere_it:1.15; betsson:1.13; marathonbet:1.12,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,28.45,1-0,,,,,
Famalicão vs Estoril,2025-12-14 10:30:00,Primeira Liga,Doble Chance,1X,1.22,pinnacle,3,0.5083,0.02,1.18,4.23,1.2,pinnacle:1.22; marathonbet:1.19; betsson:1.19,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,28.45,4-0,,,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Doble Chance,1X,1.5,pinnacle,4,0.4349,0.02,1.26,2.69,1.48,pinnacle:1.5; marathonbet:1.49; codere_it:1.48; betsson:1.45,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,28.42,0-3,,,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Goles (Over/Under),Over 1.5,1.78,codere_it,2,0.3737,0.015,0.85,3.8,1.765,codere_it:1.78; betsson:1.75,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,28.24,0-1,,,,,
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Doble Chance,1X,1.54,pinnacle,4,0.2107,0.01,0.65,3.37,1.53,pinnacle:1.54; marathonbet:1.54; codere_it:1.52; betsson:1.52,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,27.64,0-1,,,,,
Trabzonspor vs Besiktas JK,2025-12-14 12:00:00,Super League,Doble Chance,1X,1.5,pinnacle,4,0.455,0.025,1.12,4.0,1.475,pinnacle:1.5; codere_it:1.48; betsson:1.46; marathonbet:1.46,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,27.58,3-3,,,,,
FC Basel vs FC Lausanne-Sport,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,1X,1.22,pinnacle,4,0.4496,0.0175,1.08,4.27,1.2025,pinnacle:1.22; codere_it:1.21; betsson:1.19; marathonbet:1.19,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,27.43,0-0,,,,,
RB Salzburg vs Wolfsberger AC,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Under 2.5,2.21,codere_it,2,0.1504,0.065,3.03,5.85,2.145,codere_it:2.21; betsson:2.08,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,27.43,2-1,,,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Under 3.5,1.64,codere_it,2,0.0,0.0,0.0,6.22,1.64,codere_it:1.64; betsson:1.64,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,27.22,2-0,,,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Doble Chance,1X,1.62,pinnacle,4,0.4987,0.0375,1.44,3.91,1.5825,pinnacle:1.62; betsson:1.58; codere_it:1.57; marathonbet:1.56,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,27.02,0-1,,,,,
Bayern Munich vs FSV Mainz 05,2025-12-14 11:30:00,Bundesliga,Goles (Over/Under),Over 4.5,2.31,codere_it,2,0.2154,0.015,0.65,3.9,2.295,codere_it:2.31; betsson:2.28,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,26.97,2-2,,,,,
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.47,marathonbet,4,0.2476,0.015,0.77,3.19,1.455,marathonbet:1.47; pinnacle:1.46; codere_it:1.45; betsson:1.44,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,26.68,3-0,,,,,
Fatih Karagümrük vs Kocaelispor,2025-12-14 09:00:00,Super League,Doble Chance,1X,1.6,pinnacle,4,0.5273,0.0325,1.83,3.85,1.5675,pinnacle:1.6; codere_it:1.59; marathonbet:1.55; betsson:1.53,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,26.48,1-1,,,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Under 3.5,1.55,codere_it,2,-0.0324,0.0,0.0,8.96,1.55,codere_it:1.55; betsson:1.55,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,25.26,1-0,,,,,
AC Milan vs Sassuolo,2025-12-14 06:30:00,Serie A,Doble Chance,1X,1.1,marathonbet,4,0.1574,0.01,0.65,3.94,1.09,marathonbet:1.1; pinnacle:1.09; codere_it:1.09; betsson:1.08,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,25.18,2-2,,,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Doble Chance,1X,2.01,pinnacle,4,0.5659,0.095,3.01,4.17,1.915,pinnacle:2.01; codere_it:1.91; marathonbet:1.88; betsson:1.86,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,25.1,1-2,,,,,
Sporting Lisbon vs AVS Futebol SAD,2025-12-13 15:30:00,Primeira Liga,Goles (Over/Under),Over 3.5,2.03,pinnacle,2,0.4086,0.025,1.25,4.21,2.005,pinnacle:2.03; betsson:1.98,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,25.01,6-0,,,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Doble Chance,1X,1.7,pinnacle,3,0.4821,0.04,1.97,3.9,1.66,pinnacle:1.7; codere_it:1.66; betsson:1.62,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,24.67,1-1,,,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Doble Chance,1X,1.65,pinnacle,4,0.415,0.0275,1.4,4.0,1.6225,pinnacle:1.65; codere_it:1.64; marathonbet:1.6; betsson:1.6,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,24.59,0-3,,,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Doble Chance,1X,1.48,pinnacle,3,0.4981,0.0267,1.72,5.3,1.4533,pinnacle:1.48; betsson:1.46; codere_it:1.42,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,24.53,3-1,,,,,
Charleroi vs Union Saint-Gilloise,2025-12-14 12:30:00,Belgium First Div,Doble Chance,1X,1.97,pinnacle,3,0.464,0.0467,1.77,4.03,1.9233,pinnacle:1.97; betsson:1.91; marathonbet:1.89,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,24.53,1-1,,,,,
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Goles (Over/Under),Under 3.5,1.6,codere_it,2,-0.0881,0.0,0.0,7.95,1.6,codere_it:1.6; betsson:1.6,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,23.87,4-0,,,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.99,marathonbet,4,0.213,0.0225,0.91,3.24,1.9675,marathonbet:1.99; pinnacle:1.97; betsson:1.97; codere_it:1.94,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,23.55,0-3,,,,,
Arouca vs Alverca,2025-12-14 15:30:00,Primeira Liga,Doble Chance,1X,1.5,pinnacle,3,0.25,0.0167,0.84,5.0,1.4833,pinnacle:1.5; marathonbet:1.48; betsson:1.47,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,23.4,1-0,,,,,
Genk vs Westerlo,2025-12-14 13:15:00,Belgium First Div,Doble Chance,1X,1.23,pinnacle,3,0.3826,0.0167,1.4,4.26,1.2133,pinnacle:1.23; betsson:1.22; marathonbet:1.19,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,23.32,1-1,,,,,
Dender vs Club Brugge,2025-12-14 10:00:00,Belgium First Div,Doble Chance,1X,2.37,pinnacle,3,0.3797,0.0367,1.41,4.24,2.3333,pinnacle:2.37; marathonbet:2.34; betsson:2.29,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,23.2,1-5,,,,,
SC Freiburg vs Borussia Dortmund,2025-12-14 09:30:00,Bundesliga,Doble Chance,1X,1.73,pinnacle,4,0.2909,0.025,1.21,3.3,1.705,pinnacle:1.73; marathonbet:1.72; codere_it:1.69; betsson:1.68,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,23.05,1-1,,,,,
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Doble Chance,1X,1.13,codere_it,4,-0.1283,0.005,0.44,4.99,1.125,codere_it:1.13; marathonbet:1.13; pinnacle:1.12; betsson:1.12,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,22.89,2-0,,,,,
Brentford vs Leeds United,2025-12-14 11:30:00,EPL,Doble Chance,1X,1.3,pinnacle,4,0.142,0.01,0.78,3.45,1.29,pinnacle:1.3; marathonbet:1.3; codere_it:1.28; betsson:1.28,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,22.88,1-1,,,,,
FC Twente Enschede vs Go Ahead Eagles,2025-12-14 08:30:00,Eredivisie,Doble Chance,1X,1.1,pinnacle,4,0.2857,0.015,1.03,4.41,1.085,pinnacle:1.1; codere_it:1.09; marathonbet:1.08; betsson:1.07,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,22.81,2-0,,,,,
Schweinfurt vs TSV Havelse,2025-12-14 13:30:00,3. Liga,Doble Chance,1X,1.45,pinnacle,3,0.4834,0.0433,2.2,5.42,1.4067,pinnacle:1.45; betsson:1.39; codere_it:1.38,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,22.74,2-3,,,,,
Jahn Regensburg vs Waldhof Mannheim,2025-12-14 10:30:00,3. Liga,Doble Chance,1X,1.53,pinnacle,3,0.4647,0.04,1.98,5.38,1.49,pinnacle:1.53; betsson:1.48; codere_it:1.46,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,22.71,3-0,,,,,
Bayern Munich vs FSV Mainz 05,2025-12-14 11:30:00,Bundesliga,Goles (Over/Under),Under 4.5,1.65,codere_it,2,0.2154,0.015,0.92,3.9,1.635,codere_it:1.65; betsson:1.62,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,22.46,2-2,,,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Goles (Over/Under),Under 1.5,2.1,codere_it,2,0.3737,0.04,1.94,3.8,2.06,codere_it:2.1; betsson:2.02,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,21.63,0-1,,,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Doble Chance,1X,1.05,pinnacle,3,0.3881,0.0167,1.64,5.23,1.0333,pinnacle:1.05; betsson:1.04; codere_it:1.01,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,21.56,2-1,,,,,
Sunderland vs Newcastle United,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.7,marathonbet,4,0.25,0.035,1.38,3.2,1.665,marathonbet:1.7; pinnacle:1.67; codere_it:1.65; betsson:1.64,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,21.0,1-0,,,,,
NAC Breda vs FC Utrecht,2025-12-14 10:45:00,Eredivisie,Goles (Over/Under),Under 2.5,2.0,codere_it,3,-0.1107,0.0433,2.14,5.87,1.9567,codere_it:2.0; pinnacle:1.97; betsson:1.9,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,20.96,1-1,,,,,
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Doble Chance,1X,1.04,pinnacle,4,0.1729,0.0075,0.8,6.13,1.0325,pinnacle:1.04; marathonbet:1.04; betsson:1.03; codere_it:1.02,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,20.95,4-0,,,,,
Carrarese vs Virtus Entella,2025-12-14 09:00:00,Serie B,Doble Chance,1X,1.4,codere_it,4,0.264,0.02,1.15,4.81,1.38,codere_it:1.4; pinnacle:1.39; marathonbet:1.37; betsson:1.36,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,20.77,3-1,,,,,
Arsenal vs Wolverhampton Wanderers,2025-12-13 15:00:00,EPL,Goles (Over/Under),Over 3.5,2.18,betsson,2,0.3241,0.03,1.4,5.4,2.15,betsson:2.18; codere_it:2.12,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,20.57,2-1,,,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Doble Chance,1X,1.68,pinnacle,4,0.2738,0.025,1.57,3.36,1.655,pinnacle:1.68; marathonbet:1.68; codere_it:1.64; betsson:1.62,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,20.54,0-4,,,,,
Auxerre vs Lille,2025-12-14 11:15:00,Ligue 1,Doble Chance,1X,2.06,marathonbet,4,0.3252,0.0675,2.23,3.29,1.9925,marathonbet:2.06; pinnacle:2.0; codere_it:1.97; betsson:1.94,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,20.32,3-4,,,,,
Carrarese vs Virtus Entella,2025-12-14 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.62,betsson,2,0.0534,0.0,0.0,8.24,1.62,betsson:1.62; codere_it:1.62,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,20.23,3-1,,,,,
Udinese vs Napoli,2025-12-14 09:00:00,Serie A,Doble Chance,1X,1.99,pinnacle,4,0.279,0.0325,1.59,3.62,1.9575,pinnacle:1.99; marathonbet:1.98; codere_it:1.95; betsson:1.91,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,20.18,1-0,,,,,
Genoa vs Inter Milan,2025-12-14 12:00:00,Serie A,Doble Chance,1X,2.53,marathonbet,4,0.2097,0.05,1.31,3.29,2.48,marathonbet:2.53; pinnacle:2.48; codere_it:2.47; betsson:2.44,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,20.0,1-2,,,,,
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Goles (Over/Under),Under 1.5,2.35,betsson,2,0.0336,0.015,0.64,8.34,2.335,betsson:2.35; codere_it:2.32,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,19.03,1-1,,,,,
Moreirense FC vs Benfica,2025-12-14 13:00:00,Primeira Liga,Doble Chance,1X,3.22,pinnacle,3,0.3982,0.1733,4.16,4.57,3.0467,pinnacle:3.22; betsson:3.0; marathonbet:2.92,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,18.73,0-4,,,,,
Elversberg vs Fortuna Düsseldorf,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Over 3.5,2.28,betsson,2,0.0346,0.015,0.66,8.38,2.265,betsson:2.28; codere_it:2.25,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,18.58,1-0,,,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Doble Chance,1X,2.82,pinnacle,3,0.3972,0.11,3.85,4.96,2.71,pinnacle:2.82; betsson:2.74; codere_it:2.57,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,18.55,2-0,,,,,
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Goles (Over/Under),Over 3.5,2.18,betsson,2,0.1991,0.025,1.16,6.48,2.155,betsson:2.18; codere_it:2.13,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,17.68,1-0,,,,,
Schweinfurt vs TSV Havelse,2025-12-14 13:30:00,3. Liga,Goles (Over/Under),Over 3.5,2.22,betsson,2,0.106,0.02,0.91,7.55,2.2,betsson:2.22; codere_it:2.18,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,16.82,2-3,,,,,
Panetolikos Agrinio vs AEK Athens,2025-12-14 10:30:00,Super League,Doble Chance,1X,3.05,pinnacle,3,0.3283,0.1333,4.28,5.3,2.9167,pinnacle:3.05; betsson:2.95; codere_it:2.75,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,15.96,0-5,,,,,
RC Lens vs Nice,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Over 3.5,2.31,codere_it,2,0.2576,0.065,2.9,4.27,2.245,codere_it:2.31; betsson:2.18,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,15.86,2-0,,,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Doble Chance,1X,2.8,pinnacle,3,0.3327,0.17,5.13,5.2,2.63,pinnacle:2.8; betsson:2.62; codere_it:2.47,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,15.78,0-0,,,,,
Alavés vs Real Madrid,2025-12-14 15:00:00,La Liga,Doble Chance,1X,2.37,pinnacle,4,0.1188,0.0475,1.5,3.62,2.3225,pinnacle:2.37; marathonbet:2.34; codere_it:2.3; betsson:2.28,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,15.76,1-2,,,,,
SV Darmstadt 98 vs SC Preußen Münster,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,1X,1.16,codere_it,4,0.0741,0.0125,1.13,6.21,1.1475,codere_it:1.16; pinnacle:1.16; marathonbet:1.14; betsson:1.13,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,14.29,1-0,,,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Goles (Over/Under),Over 3.5,2.32,betsson,2,0.2003,0.045,1.98,6.39,2.275,betsson:2.32; codere_it:2.23,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,14.19,0-4,,,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Goles (Over/Under),Over 3.5,2.36,betsson,2,-0.037,0.02,0.85,6.48,2.34,betsson:2.36; codere_it:2.32,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,13.74,0-3,,,,,
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Doble Chance,1X,1.84,betsson,4,-0.0995,0.015,0.82,4.42,1.825,betsson:1.84; pinnacle:1.83; marathonbet:1.83; codere_it:1.8,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,13.74,2-3,,,,,
Fenerbahce vs Torku Konyaspor,2025-12-15 12:00:00,Super League,Goles (Over/Under),Over 3.5,2.27,betsson,2,0.1069,0.035,1.57,6.55,2.235,betsson:2.27; codere_it:2.2,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,12.63,4-0,,,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Doble Chance,1X,1.72,betsson,4,0.0458,0.025,1.53,5.46,1.695,betsson:1.72; pinnacle:1.72; codere_it:1.68; marathonbet:1.66,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,11.57,2-0,,,,,
FC Twente Enschede vs Go Ahead Eagles,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Over 3.5,2.26,betsson,2,-0.0236,0.03,1.35,6.36,2.23,betsson:2.26; codere_it:2.2,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,9.84,2-0,,,,,
Austria Wien vs Sturm Graz,2025-12-14 11:00:00,Austrian Bundesliga,Doble Chance,1X,1.41,codere_it,3,-0.0484,0.0133,1.35,5.99,1.3967,codere_it:1.41; pinnacle:1.41; betsson:1.37,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,9.29,3-1,,,,,
AD Ceuta FC vs Las Palmas,2025-12-14 15:00:00,La Liga 2,Goles (Over/Under),Over 1.5,1.52,betsson,2,0.0336,0.0,0.0,8.34,1.52,betsson:1.52; codere_it:1.52,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Acertado,,3.41,1-1,,,,,
Ajax vs Feyenoord,2025-12-14 08:30:00,Eredivisie,Goles (Over/Under),Over 3.5,2.21,codere_it,2,0.0,0.0,0.0,6.22,2.21,codere_it:2.21; betsson:2.21,analisis_mercados_fusionado_20251213_con_confianza_con_resultados.csv,2025-12-15T20:48:10,Fallido,,3.22,2-0,,,,,
