Partido,Fecha_Hora_Colombia,Estado,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Rangers FC vs SC Braga,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.97,codere_it,3,0.2354,0.0133,0.48,3.95,1.9567,codere_it:1.97; betsson:1.95; pinnacle:1.95
NEC Nijmegen vs Sparta Rotterdam,2025-11-29 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.25,1.98,pinnacle,1,0.2346,0.0,,4.56,1.98,pinnacle:1.98
NEC Nijmegen vs Sparta Rotterdam,2025-11-29 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.25,1.85,pinnacle,1,0.2346,0.0,,4.56,1.85,pinnacle:1.85
Inter Milan vs Como,2025-12-06 12:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.97,pinnacle,1,0.2335,0.0,,4.24,1.97,pinnacle:1.97
Inter Milan vs Como,2025-12-06 12:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.87,pinnacle,1,0.2335,0.0,,4.24,1.87,pinnacle:1.87
FC Twente Enschede vs AZ Alkmaar,2025-11-30 10:45:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.96,pinnacle,1,0.2333,0.0,,4.5,1.96,pinnacle:1.96
FC Twente Enschede vs AZ Alkmaar,2025-11-30 10:45:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.87,pinnacle,1,0.2333,0.0,,4.5,1.87,pinnacle:1.87
Feyenoord vs Celtic,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.92,pinnacle,1,0.2326,0.0,,4.17,1.92,pinnacle:1.92
Feyenoord vs Celtic,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.92,pinnacle,1,0.2326,0.0,,4.17,1.92,pinnacle:1.92
Augsburg vs Bayer Leverkusen,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.94,pinnacle,1,0.2309,0.0,,4.46,1.94,pinnacle:1.94
Augsburg vs Bayer Leverkusen,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.89,pinnacle,1,0.2309,0.0,,4.46,1.89,pinnacle:1.89
KRC Genk vs FC Basel,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.63,codere_it,2,0.2279,0.025,1.56,4.08,1.605,codere_it:1.63; betsson:1.58
KRC Genk vs FC Basel,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.34,codere_it,2,0.2279,0.01,0.43,4.08,2.33,codere_it:2.34; betsson:2.32
Valencia vs Sevilla,2025-12-07 10:15:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.86,pinnacle,1,0.2272,0.0,,4.27,1.86,pinnacle:1.86
Valencia vs Sevilla,2025-12-07 10:15:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.98,pinnacle,1,0.2272,0.0,,4.27,1.98,pinnacle:1.98
Alavés vs Real Sociedad,2025-12-06 10:15:00,⏰ Próximo,Goles (Over/Under),Over 2.0,1.88,pinnacle,1,0.2257,0.0,,4.21,1.88,pinnacle:1.88
Alavés vs Real Sociedad,2025-12-06 10:15:00,⏰ Próximo,Goles (Over/Under),Under 2.0,1.96,pinnacle,1,0.2257,0.0,,4.21,1.96,pinnacle:1.96
